yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
032830.KS,032830,삼성생명,570000,,"생명보험,부동산 임대",KOSPI,주권,KRX,289500.0,289800.0,353433.3333333333,304475.0,250902.0,15.38369562618074,497000.0,-41.75050301810865,51.576576576573316,-7.06,-19.02,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,9.3,9.99,23.4,23.0,0.73,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.85,,,393538.0,,,35.94,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011.0,OpenDART,2.47,10.22,2025.0,11011.0,,,,3,2,2,2,,,보험업,보험업,2026-08-25,4.7,4,10,0,0,8,5,5,5,37,D,11
012450.KS,012450,한화에어로스페이스,568228,,"항공기엔진,특수방산장비 제조/정비사업",KOSPI,주권,KRX,1105000.0,1054050.0,1045300.0,1213758.3333333333,1149605.0,-3.8800283575662946,1537000.0,-28.106701366297983,60.33755274261425,22.91,-7.92,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,-38.13,15.96,45.54,25.0,4.74,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,267029.0,30893.0,22020.0,11.57,8.25,40498.05,20557.23,77133.55,371654.85,-294521.3,0.63,25.63,7000.0,3601.42,OpenDART,91.29,4.0,False,4.0,OpenDART,,4.0,,,1650000.0,,,49.32,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,34.11,2025.0,11011.0,,,,2,1,1,1,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-08-25,4.7,4,0,16,0,15,0,3,5,43,C,12
000270.KS,000270,기아,526667,,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비",KOSPI,주권,KRX,134900.0,131935.0,144851.66666666666,152355.0,145801.0,-7.476629104052784,206000.0,-34.51456310679612,59.04436860065439,3.45,-17.89,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,-21.72,5.03,39.34,6.0,0.85,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,1141409.0,90781.0,75542.0,7.95,6.62,90541.4,40610.71,139981.06,377885.91,-237904.85,5.04,34.9,6800.0,26424.99,OpenDART,24.78,5.0,False,5.0,OpenDART,,4.0,,,216600.0,,,60.56,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011,OpenDART,,-6.31,2025.0,11011,,,,2,1,1,1,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-08-25,4.7,15,8,12,0,0,0,3,5,43,C,13
034020.KS,034020,두산에너빌리티,516932,,"기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설",KOSPI,주권,KRX,80600.0,74130.0,81986.66666666667,95119.16666666667,91068.5,-11.495193178761042,136400.0,-40.909090909090914,61.99376947037794,13.68,-23.89,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,-24.14,284.35,24.0,149.0,5.84,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,170579.0,7627.0,2052.0,4.47,1.2,7518.01,536.28,30809.97,155038.53,-124228.56,,,,,,,,,,,,4.0,,,129375.0,,,60.51,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011.0,OpenDART,,23.18,,,,,,1,0,0,0,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,2026-08-25,4.7,0,0,0,0,12,0,3,5,20,D,14
055550.KS,055550,신한지주,499964,,금융지주회사,KOSPI,주권,KRX,106800.0,104095.0,102493.33333333333,98806.66666666667,92325.5,15.67768384682455,110000.0,-2.909090909090909,56.81818181815599,1.71,15.09,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,15.39,5.95,62.2,8.0,0.83,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,646820.0,70234.0,50845.0,10.86,7.86,97308.81,90892.48,352951.23,7256411.61,-6903460.38,2.43,25.06,2590.0,12457.3,OpenDART,7.84,5.0,False,5.0,OpenDART,,4.0,,,137000.0,,,28.28,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,0.52,9.58,2025.0,11011.0,8.0,1.02,9.04,18,17,17,16,0.0,-18.63,기타 금융업,기타 금융업,2026-08-25,4.7,15,8,6,20,8,8,3,0,68,B,15
329180.KS,329180,HD현대중공업,487544,,"선박, 해양플랜트 및 엔진기계 등",KOSPI,주권,KRX,466500.0,481925.0,549591.6666666666,566350.0,565565.0,-17.51611220637769,745000.0,-37.38255033557047,44.759206798863296,-4.11,-33.74,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,124.28,179.12,13.83,15.0,4.89,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,175806.0,20375.0,14155.0,11.59,8.05,35103.92,29689.02,18699.18,168214.24,-149515.06,1.21,40.0,5661.0,5670.22,OpenDART,170.86,2.0,False,2.0,OpenDART,,4.0,,,874105.0,,,87.38,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011.0,OpenDART,0.12,651.55,2025.0,11011.0,,,,3,2,2,2,,,선박 및 보트 건조업,선박 및 보트 건조업,2026-08-25,4.7,8,0,16,20,15,10,5,5,79,A,16
012330.KS,012330,현대모비스,451848,,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",KOSPI,주권,KRX,505000.0,493600.0,534858.3333333334,497725.0,450880.0,12.00319375443577,768000.0,-34.24479166666667,55.108359133122164,8.95,-26.38,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,-8.74,7.12,37.61,11.0,0.85,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,611181.0,33575.0,36647.0,5.49,6.0,44725.15,29568.58,49223.78,211877.37,-162653.59,1.29,15.9,6500.0,5797.54,OpenDART,17.57,5.0,False,5.0,OpenDART,,4.0,,,737200.0,,,45.98,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,4.5,2025.0,11011.0,,,,1,0,0,0,,,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2026-08-25,4.7,12,8,6,0,4,0,3,5,38,D,17
068270.KS,068270,셀트리온,441042,,"램시마, 트룩시마, 허쥬마",KOSPI,주권,KRX,190700.0,193140.0,180159.78333333333,185454.28333333333,187872.655,1.5049263023402748,236861.0,-19.48864523919092,53.877551020392765,6.72,5.3,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,148.85,65.74,25.53,29.0,2.55,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,41625.0,11685.0,10315.0,28.07,24.78,6460.51,3143.17,11192.06,49823.7,-38631.64,,15.92,,1639.6,OpenDART,-50.0,0.0,True,2.0,OpenDART,,4.0,,,275338.0,,,44.38,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,0.19,15.32,2025.0,11011.0,,,,2,1,1,1,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-25,4.7,0,3,6,20,12,10,5,5,61,B,18
006400.KS,006400,삼성SDI,418238,,"2차전지, 전자재료 제조 판매",KOSPI,주권,KRX,522000.0,452075.0,479283.3333333333,499454.1666666667,430660.0,21.209306645613708,712000.0,-26.685393258426966,70.02012072434214,21.11,-22.78,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,-70.17,22.94,26.3,59.0,1.69,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,132667.0,-17224.0,-5849.0,-12.98,-4.41,7923.86,-23367.18,18039.94,186852.25,-168812.31,,,,,,0.0,0.0,True,4.0,OpenDART,,3.95,,,694842.0,,,33.11,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,,,,,,3,1,2,2,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-25,4.7,0,6,0,0,0,0,1,5,12,D,19
034730.KS,034730,SK,403115,,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",KOSPI,주권,KRX,563000.0,539775.0,620208.3333333334,516808.3333333333,425072.5,32.44799416570115,858000.0,-34.38228438228438,56.37583892617184,-9.63,-15.21,nxt_web_latest,NXT 체결가,2026-08-25 20:56 KST,,,,11.73,29.93,3.0,1.02,6.35,149.17,-0.56,-24.1,,-,1227033.0,18185.0,35552.0,1.48,2.9,60987.98,-39820.79,252141.32,1278283.33,-1026142.01,1.42,27.6,8000.0,4407.19,OpenDART,16.96,5.0,True,5.0,OpenDART,,4.0,,,848167.0,,,50.65,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,CFS,11011.0,OpenDART,,,2025.0,11011.0,8.0,1.0,9.04,18,17,17,16,-62.5,2.0,기타 금융업,기타 금융업,2026-08-25,4.7,15,8,6,0,0,0,3,5,37,D,20
