yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_pbr_avg,peer_roe_avg,peer_pbr_gap,peer_per_avg,peer_per_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,171744,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,318500.0,286540.95,266023.95,272725.0416666667,306239.365,4.0036116846049525,430123.0,-25.951413897885022,67.70431089363358,37.75,7.1,nxt_web_latest,NXT 체결가,2026-08-24 20:59 KST,,,124.86,217.49,14.77,87.0,47.24,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,455000.0,,,42.86,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,10,1,9,9,0.7,18.84,-31.49,150.74,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-24,4.25,0,0,20,20,0,10,1,5,56,B,1
086520.KQ,086520,에코프로,119347,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,86900.0,83675.0,95886.66666666667,122757.5,118551.5,-26.69852342652771,185000.0,-53.02702702702703,61.79775280896932,11.27,-39.19,nxt_web_latest,NXT 체결가,2026-08-24 20:59 KST,,,,336.78,19.08,192.7,5.36,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.17,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-08-24,4.25,0,0,0,0,0,0,3,3,6,D,2
247540.KQ,247540,에코프로비엠,114461,중견기업부,양극활물질,KOSDAQ,주권,KRX,116900.0,107060.0,134961.66666666666,168860.0,169859.0,-31.178212517440933,246000.0,-52.479674796747965,65.78124999998562,7.94,-45.25,nxt_web_latest,NXT 체결가,2026-08-24 20:59 KST,,,,364.17,14.76,751.0,6.25,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.8,,,179467.0,,,53.52,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-24,4.25,0,0,0,0,0,0,1,3,4,D,3
277810.KQ,277810,레인보우로보틱스,86232,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,446000.0,459325.0,514891.6666666667,597162.5,564737.5,-21.025255096394343,880000.0,-49.31818181818181,46.19565217390953,6.57,-39.07,nxt_web_latest,NXT 체결가,2026-08-24 20:59 KST,,,-33.64,3949.62,5.2,,71.52,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,105.16,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,19,17,18,18,,6.32,8.98,1031.65,25.0,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-24,4.25,0,0,0,0,0,0,5,3,8,D,4
036930.KQ,036930,주성엔지니어링,77158,우량기업부,"ALG, ALD",KOSDAQ,주권,KRX,166000.0,149330.0,179423.33333333334,140555.83333333334,98035.25,69.32684927105302,250500.0,-33.73253493013972,67.45886654478113,17.73,-27.51,daily_close,NXT 미확인,2026-08-24 21:09 KST,,,-66.22,32.8,7.73,887.5,13.96,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,14.46,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,16,18,18,,6.32,8.98,120.89,25.0,3450.0,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-24,4.25,0,0,6,0,4,0,1,5,16,D,5
240810.KQ,240810,원익IPS,52225,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,106400.0,101125.0,123078.33333333333,122254.16666666667,104763.0,1.5625745730840086,183300.0,-41.95308237861429,59.35198821795536,5.87,-5.25,daily_close,NXT 미확인,2026-08-24 21:09 KST,,,304.73,46.26,15.83,24.0,5.35,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.19,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,45.41,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,16,18,18,0.08,6.66,8.16,-19.67,29.0,-17.24,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-24,4.25,4,0,6,20,0,10,3,5,48,C,6
028300.KQ,028300,HLB,50415,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,37800.0,36905.0,42306.666666666664,48370.0,49422.0,-23.51584314677674,92500.0,-59.13513513513513,69.041095890358,20.77,-25.88,nxt_web_latest,NXT 체결가,2026-08-24 20:59 KST,,,,,20.38,,12.78,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-24,4.25,0,0,0,0,0,0,1,3,4,D,7
058470.KQ,058470,리노공업,49232,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,64500.0,66270.0,78453.33333333333,94780.83333333333,85096.0,-24.203252796841216,127000.0,-49.21259842519685,57.017543859614115,-5.98,-37.07,nxt_web_latest,NXT 체결가,2026-08-24 20:59 KST,,,34.19,27.95,31.67,26.0,6.31,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.24,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,115750.0,,,79.46,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,OFS,11011,OpenDART,2025.0,11011,9,7,8,8,0.76,4.68,11.1,34.83,17.0,52.94,17.07,전자부품 제조업,전자부품 제조업,2026-08-24,4.25,0,0,20,16,12,10,3,3,64,B,8
039030.KQ,039030,이오테크닉스,47799,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,380000.0,344150.0,400416.6666666667,425887.5,376497.5,0.9302850616537959,612000.0,-37.908496732026144,75.5319148936114,27.3,-26.21,nxt_web_latest,NXT 체결가,2026-08-24 20:59 KST,,,33.53,50.01,27.65,67.33,7.05,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,40.13,,,Naver/FnGuide,,KRW,2026-08-21,2025.0,CFS,11011.0,OpenDART,,,19,16,18,18,2.01,6.32,8.24,11.55,25.0,169.32,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-24,4.25,0,0,6,0,12,10,1,5,34,D,9
214450.KQ,214450,파마리서치,43220,우량기업부,재생의약품,KOSDAQ,주권,KRX,416500.0,390150.0,339808.3333333333,326354.1666666667,365727.5,13.882603851228032,711000.0,-41.42053445850914,60.89108910890667,16.67,39.3,nxt_web_latest,NXT 체결가,2026-08-24 20:59 KST,,,65.07,24.5,7.77,22.0,6.86,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,0.89,25.9,3700.0,427.91,OpenDART,77.64,5.0,False,5.0,OpenDART,,4.0,,,512667.0,,,23.09,,,Naver/FnGuide,,KRW,2026-08-20,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,1,2,2,0.34,,,,,,37.82,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-24,4.25,4,0,20,20,15,10,3,5,77,A,10
