yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,15258787,,,KOSPI,주권,KRX,260000.0,259075.0,265183.3333333333,265145.8333333333,219833.5,18.27132807329183,362500.0,-28.27586206896552,49.99999999998923,-7.64,-23.64,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,32.61,21.95,46.72,5.0,3.02,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.38,436010.51,452068.05,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.64,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,491875.0,,,89.18,,,Naver/FnGuide,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,0.15,75.51,2025.0,11011.0,,,,2,1,1,1,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-09-18,4.25,15,0,12,20,15,10,5,5,82,A,1
000660.KS,000660,SK하이닉스,13565243,,,KOSPI,주권,KRX,1849000.0,1725350.0,1833816.6666666667,1759075.0,1367145.0,35.24534705535989,2919000.0,-36.65638917437479,62.23776223776102,6.88,-28.33,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,116.89,8.72,50.56,5.0,4.57,44.15,45.95,46.76,101.16,,27182 -> 58955,971466.75,472063.19,429479.02,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.16,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3280417.0,,,77.42,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,0.04,,2025.0,11011.0,,,,2,0,0,0,,,반도체 제조업,반도체 제조업,2026-09-18,4.25,15,0,20,20,0,10,3,5,73,A,2
005935.KS,005935,삼성전자우,1573449,,,KOSPI,주권,KRX,196900.0,192560.0,188856.66666666666,182167.5,153189.0,28.534033122482683,235000.0,-16.21276595744681,57.80780780779566,-4.88,-7.78,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,32.61,21.95,46.73,4.0,2.32,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.05,,,487045.0,,,147.36,,,Naver/FnGuide,,,2026-09-18,,,,,0.12,75.51,,,,,,3,1,1,1,,,,,2026-09-18,4.25,15,3,12,20,15,10,3,5,83,A,3
402340.KS,402340,SK스퀘어,1423459,,,KOSPI,주권,KRX,1072000.0,1056900.0,1169200.0,1094900.0,841092.5,27.453282486765723,1970000.0,-45.58375634517767,53.623188405795545,-4.54,-40.41,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,143.06,4.22,46.33,3.0,2.7,37.82,9.01,77.76,124.39,,27346 -> 66468,14115.21,87974.21,88186.95,623.26,624.77,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1938333.0,,,80.81,,,Naver/FnGuide,,KRW,2026-09-18,2025.0,CFS,11011.0,OpenDART,0.02,,,,9.0,0.99,9.04,16,15,15,14,-66.67,172.73,기타 금융업,기타 금융업,2026-09-18,4.25,15,3,20,20,0,10,5,3,76,A,4
009150.KS,009150,삼성전기,1036748,,,KOSPI,주권,KRX,1388000.0,1382200.0,1435666.6666666667,1298391.6666666667,907430.0,52.9594569278071,2270000.0,-38.85462555066079,43.32061068702174,5.47,-29.33,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,3.96,23.43,37.93,72.0,10.56,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113144.59,9133.31,7309.9,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.17,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2325500.0,,,67.54,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,18.18,29.21,2025.0,11011.0,41.5,5.65,6.37,5,4,4,4,73.49,86.9,전자부품 제조업,전자부품 제조업,2026-09-18,4.25,0,0,6,0,15,2,5,5,33,D,5
373220.KS,373220,LG에너지솔루션,851760,,,KOSPI,주권,KRX,363500.0,361900.0,347475.0,385091.6666666667,389787.5,-6.744059263060001,514000.0,-29.28015564202335,44.649446494460335,5.82,-0.55,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,,80.86,5.56,-292.0,3.75,-5.19,129.0,-7.6,133.94,,-,236717.59,13461.2,808.03,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,4.0,,,515778.0,,,41.89,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,,,,,,,,3,2,2,2,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-18,4.25,0,0,0,0,0,0,5,5,10,D,6
005380.KS,005380,현대차,747365,,,KOSPI,주권,KRX,366500.0,387875.0,415608.3333333333,499133.3333333333,470022.5,-22.025009441037398,750000.0,-51.13333333333333,28.735632183903434,-11.69,-28.0,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,-23.26,5.89,24.37,11.0,0.86,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862544.72,114678.51,103647.75,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.73,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,704400.0,,,92.2,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,,-9.97,2025.0,11011.0,,,,2,1,1,1,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-09-18,4.25,12,8,6,0,0,0,3,3,32,D,7
207940.KS,207940,삼성바이오로직스,647147,,,KOSPI,주권,KRX,1399000.0,1475750.0,1464266.6666666667,1457550.0,1559550.0,-10.294636273283961,1965000.0,-28.80407124681934,20.10050251256139,-9.8,1.01,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,74.57,82.79,13.1,38.0,8.41,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45569.72,20692.21,17843.52,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,1997143.0,,,42.76,,,Naver/FnGuide,,KRW,2026-09-17,2025.0,CFS,11011.0,OpenDART,0.51,48.49,,,,,,2,1,1,1,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-18,4.25,0,0,16,20,15,10,1,5,67,B,8
105560.KS,105560,KB금융,620348,,,KOSPI,주권,KRX,175700.0,173110.0,170423.33333333334,163356.66666666666,153725.0,14.295007318263131,186200.0,-5.639097744360902,52.49999999998469,6.94,15.74,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,18.98,6.51,79.17,9.0,1.0,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.11,58407.15,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.49,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,224889.0,,,28.0,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,0.47,15.41,2025.0,11011.0,8.0,0.99,9.04,16,15,15,14,12.5,1.01,기타 금융업,기타 금융업,2026-09-18,4.25,12,8,6,20,12,8,5,0,71,A,9
028260.KS,028260,삼성물산,569208,,,KOSPI,주권,KRX,353500.0,370075.0,371916.6666666667,373966.6666666667,336220.0,5.139491999286181,535000.0,-33.925233644859816,39.4495412843986,-10.62,-26.58,daily_close,NXT 미확인,2026-09-19 00:14 KST,,,15.35,12.4,30.9,22.0,0.57,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.41,32927.47,39066.53,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.79,18.8,2800.0,4582.52,OpenDART,6.78,5.0,True,5.0,OpenDART,,4.0,,,500714.0,,,41.64,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,1.43,9.45,2025.0,11011.0,,,,1,0,0,0,,,기타 전문 도매업,기타 전문 도매업,2026-09-18,4.25,4,10,6,10,8,8,5,5,56,B,10
