yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
000660.KS,000660,SK하이닉스,20803782,2919000.0,924752.5,215.65202581231193,2919000.0,0.0,65.49609810479325,regularMarketPrice,116.89,8.72,51.31,9.0,11.62,44.15,45.95,46.76,101.16,,27182 -> 58955,,,,,,,,,,,0.08,,2026-06-22,4.45,12,0,20,20,0,10,1,0,63,B,1
005930.KS,005930,삼성전자,20666594,353500.0,164533.0,114.85051630979804,362500.0,-2.4827586206896552,51.133501259442234,daily_close,32.61,21.95,47.62,8.0,4.92,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,,,,,,,,,,,0.25,75.51,2026-06-22,4.45,15,0,12,20,15,10,5,0,77,A,2
402340.KS,402340,SK스퀘어,2599580,1970000.0,543819.5,262.25254886961574,1970000.0,0.0,76.02040816326453,daily_close,143.06,4.22,48.01,6.0,6.51,37.82,9.01,77.76,124.39,,27346 -> 66468,,,,,,,,,,,0.04,,2026-06-22,4.45,15,0,20,20,0,10,1,0,66,B,3
005935.KS,005935,삼성전자우,1797311,224000.0,116100.5,92.93629226402987,231500.0,-3.2397408207343417,47.72727272726665,daily_close,32.61,21.95,47.62,5.0,3.09,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,,,,,,,,,,,0.15,75.51,2026-06-22,4.45,15,0,12,20,15,10,5,0,77,A,4
009150.KS,009150,삼성전기,1664175,2228000.0,520042.0,328.42693474757806,2270000.0,-1.8502202643171806,56.90402476780137,regularMarketPrice,3.96,23.43,39.4,137.0,17.47,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,,,,,,,,,,,34.6,29.21,2026-06-22,4.45,0,0,6,0,15,2,3,0,26,D,5
005380.KS,005380,현대차,1189642,581000.0,414575.0,40.14352047277332,750000.0,-22.53333333333333,21.16040955631297,regularMarketPrice,-23.26,5.89,25.28,16.0,1.34,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,,,,,,,,,,,,-9.97,2026-06-22,4.45,8,6,6,0,0,0,1,5,26,D,6
373220.KS,373220,LG에너지솔루션,902070,385500.0,407547.5,-5.409798857801851,514000.0,-25.0,30.4225352112652,daily_close,,80.86,5.48,-370.0,4.27,-5.19,129.0,-7.6,133.94,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,5,8,D,7
032830.KS,032830,삼성생명,901000,450500.0,212661.0,111.83950042555992,497000.0,-9.356136820925553,55.08155583437699,daily_close,9.3,9.99,23.21,35.0,1.1,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,,,,,,,,,,,3.76,10.22,2026-06-22,4.45,0,8,0,0,8,5,3,0,24,D,8
028260.KS,028260,삼성물산,843271,520000.0,282063.5,84.35565041205261,535000.0,-2.803738317757009,58.46354166666454,regularMarketPrice,15.35,12.4,31.12,31.0,1.29,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,,,,,,,,,,,2.02,9.45,2026-06-22,4.45,0,6,6,0,8,8,3,0,31,D,9
329180.KS,329180,HD현대중공업,667553,636000.0,568580.0,11.857610186781104,745000.0,-14.630872483221477,41.89189189188991,daily_close,124.28,179.12,13.72,23.0,7.21,18.82,180.07,21.36,188.93,651.55,278 -> 7001 -> 15702,,,,,,,,,,,0.19,651.55,2026-06-22,4.45,4,0,16,20,15,10,5,5,75,A,10
034020.KS,034020,두산에너빌리티,603408,94200.0,89431.0,5.332602788742158,136400.0,-30.93841642228739,38.47549909254921,regularMarketPrice,-24.14,284.35,23.75,213.0,7.81,1.11,129.1,5.08,-25.05,23.18,87 -> 174 -> 132,,,,,,,,,,,,23.18,2026-06-22,4.45,0,0,0,0,12,0,5,5,22,D,11
207940.KS,207940,삼성바이오로직스,599467,1295000.0,1611612.05,-19.645674031786996,1965000.0,-34.096692111959285,41.45833333333213,regularMarketPrice,74.57,82.79,12.49,32.0,8.02,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,,,,,,,,,,,0.43,48.49,2026-06-22,4.45,0,0,16,20,15,10,5,5,71,A,12
000270.KS,000270,기아,591085,151400.0,138748.0,9.118689999135123,206000.0,-26.50485436893204,37.276478679497636,daily_close,-21.72,5.03,38.77,7.0,0.98,12.92,61.76,6.23,-28.33,-6.31,21770 -> 24413 -> 19111,,,,,,,,,,,,-6.31,2026-06-22,4.45,15,8,12,0,0,0,5,5,45,C,13
012450.KS,012450,한화에어로스페이스,580088,1125000.0,1141070.0,-1.4083272717712323,1537000.0,-26.80546519193234,48.67075664621538,daily_close,-38.13,15.96,45.33,27.0,5.8,19.14,221.38,137.57,78.38,34.11,15886 -> 46183 -> 28573,,,,,,,,,,,,34.11,2026-06-22,4.45,0,0,16,0,15,0,5,5,41,C,14
105560.KS,105560,KB금융,556859,157000.0,137325.0,14.327325687238304,172000.0,-8.720930232558139,52.998776009782844,daily_close,18.98,6.51,80.12,9.0,0.95,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,,,,,,,,,,,0.47,15.41,2026-06-22,4.45,12,8,6,20,12,8,5,0,71,A,15
034730.KS,034730,SK,529269,730000.0,339176.5,115.22717523177461,730000.0,0.0,60.57971014492509,daily_close,,11.73,30.1,6.0,1.35,6.35,149.17,-0.56,-24.1,,-,,,,,,,,,,,,,2026-06-22,4.45,15,6,6,0,0,0,3,0,30,D,16
012330.KS,012330,현대모비스,516268,569000.0,410280.0,38.68577556790485,768000.0,-25.911458333333332,25.384615384614477,regularMarketPrice,-8.74,7.12,36.66,13.0,1.08,7.68,43.05,6.78,9.24,4.5,36340 -> 43480 -> 39682,,,,,,,,,,,,4.5,2026-06-22,4.45,8,8,6,0,4,0,3,5,34,D,17
055550.KS,055550,신한지주,462788,97500.0,84867.0,14.88564459683976,107500.0,-9.30232558139535,54.63137996217836,regularMarketPrice,15.39,5.95,61.62,9.0,0.81,8.72,1201.94,-12.67,8.74,9.58,8398 -> 8740 -> 10085,,,,,,,,,,,0.58,9.58,2026-06-22,4.45,12,8,6,20,8,8,5,0,67,B,18
006400.KS,006400,삼성SDI,429520,533000.0,381091.5,39.86142435609296,712000.0,-25.140449438202246,32.185628742513614,daily_close,-70.17,22.94,26.54,127.0,1.93,-3.15,79.27,-20.04,-574.1,,27788 -> 8288,,,,,,,,,,,,,2026-06-22,4.45,0,3,0,0,0,0,3,5,11,D,19
068270.KS,068270,셀트리온,373452,168500.0,183984.49,-8.416193125844462,236861.0,-28.861230848472314,36.63898387883746,daily_close,148.85,65.74,24.41,28.0,2.22,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,,,,,,,,,,,0.19,15.32,2026-06-22,4.45,0,3,6,20,12,10,5,5,61,B,20
267260.KS,267260,HD현대일렉트릭,372366,1033000.0,884347.5,16.809285942460402,1420000.0,-27.253521126760567,47.51131221719356,daily_close,46.07,25.65,34.78,40.0,18.66,41.5,134.63,22.79,48.77,68.14,7189 -> 13914 -> 20324,,,,,,,,,,,0.87,68.14,2026-06-22,4.45,0,0,20,16,15,10,5,5,71,A,21
066570.KS,066570,LG전자,370562,227500.0,120544.0,88.7277674542076,392500.0,-42.038216560509554,19.39999999999891,regularMarketPrice,161.86,28.06,28.54,19.0,1.49,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,,,,,,,,,,,0.12,16.18,2026-06-22,4.45,4,6,0,20,12,10,1,5,58,B,22
010120.KS,010120,LS ELECTRIC,367500,245000.0,135954.0,80.20801153331274,318500.0,-23.076923076923077,43.956043956040574,regularMarketPrice,20.11,26.34,18.37,77.0,18.62,14.67,131.48,9.1,9.42,17.98,1373 -> 1591 -> 1911,,,,,,,,,,,3.83,17.98,2026-06-22,4.45,0,0,12,0,12,8,5,5,42,C,23
298040.KS,298040,효성중공업,357503,3834000.0,2428235.0,57.89246098503645,4601000.0,-16.670289067594002,50.53864168618234,daily_close,133.52,20.47,26.62,46.0,14.98,24.41,190.31,21.93,106.07,111.72,12438 -> 23876 -> 55755,,,,,,,,,,,0.34,111.72,2026-06-22,4.45,0,0,20,20,15,10,5,5,75,A,24
042660.KS,042660,한화오션,356971,116500.0,123631.5,-5.768351916784962,149900.0,-22.28152101400934,45.23809523808806,daily_close,135.85,27.59,10.98,25.0,5.77,22.59,226.17,18.63,390.79,131.76,757 -> 1724 -> 4066,,,,,,,,,,,0.18,131.76,2026-06-22,4.45,4,0,20,20,15,10,5,5,79,A,25
035420.KS,035420,NAVER,348290,222000.0,237652.0,-6.586100685035262,290500.0,-23.580034423407916,35.04531722054084,regularMarketPrice,3.89,24.18,35.05,19.0,1.17,7.36,41.9,12.08,11.56,41.51,6180 -> 11913 -> 12376,,,,,,,,,,,4.88,41.51,2026-06-22,4.45,4,8,6,0,15,2,5,5,45,C,26
086790.KS,086790,하나금융지주,328418,119700.0,103758.0,15.364598392413114,132000.0,-9.318181818181818,54.738562091490735,daily_close,9.62,4.94,68.44,8.0,0.73,9.17,1377.89,-15.53,10.21,10.23,11613 -> 12872 -> 14110,,,,,,,,,,,0.83,10.23,2026-06-22,4.45,15,10,6,16,8,5,5,0,65,B,27
000810.KS,000810,삼성화재,305835,685000.0,499402.5,37.163910873493826,730000.0,-6.164383561643835,61.03542234332192,regularMarketPrice,-0.74,9.42,58.3,16.0,1.23,10.97,352.98,9.36,0.36,6.39,35961 -> 41007 -> 40703,,,,,,,,,,,,6.39,2026-06-22,4.45,8,6,12,0,4,0,3,0,33,D,28
042700.KS,042700,한미반도체,287366,301500.0,204357.5,47.53556879488151,409500.0,-26.373626373626376,51.46804835923758,daily_close,41.96,44.0,6.27,158.01,44.0,34.76,17.82,3.18,-1.57,-9.81,2745 -> 1573 -> 2233,,,,,,,,,,,3.77,-9.81,2026-06-22,4.45,0,0,20,0,0,10,5,5,40,C,29
009540.KS,009540,HD한국조선해양,281323,397500.0,419225.0,-5.18218140616614,479500.0,-17.10114702815433,48.128342245985706,daily_close,84.96,21.88,33.54,9.0,2.19,17.78,133.86,17.21,172.26,212.72,3133 -> 16565 -> 30639,,,,,,,,,,,0.11,212.72,2026-06-22,4.45,12,3,16,20,15,10,5,5,86,S,30
005490.KS,005490,POSCO홀딩스,274571,346500.0,345395.0,0.31992356577252135,535000.0,-35.23364485981308,28.888888888886314,regularMarketPrice,-38.15,27.33,31.65,15.0,0.47,1.18,68.64,-4.94,-15.94,-36.54,20079 -> 13073 -> 8085,,,,,,,,,,,,-36.54,2026-06-22,4.45,8,10,0,0,0,0,3,5,26,D,31
011070.KS,011070,LG이노텍,267438,1130000.0,385219.0,193.3396327803146,1530000.0,-26.143790849673206,29.55010224948832,daily_close,-24.04,12.45,22.5,33.0,4.46,6.14,107.02,3.28,-5.81,-22.3,23881 -> 18983 -> 14419,,,,,,,,,,,,-22.3,2026-06-22,4.45,0,0,6,0,0,0,3,5,14,D,32
000150.KS,000150,두산,264121,1631000.0,1041790.0,56.5574635963102,2203000.0,-25.964593735814802,27.15654952076646,regularMarketPrice,,220.26,20.16,71.0,13.22,4.99,169.14,9.11,5.87,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,5,8,D,33
006800.KS,006800,미래에셋증권,257960,46100.0,42350.435,8.853663486573403,83800.0,-44.98806682577566,16.816143497747277,regularMarketPrice,76.41,11.79,8.63,12.0,2.01,12.36,1015.01,31.65,61.19,126.19,421 -> 1221 -> 2154,,,,,,,,,,,0.16,126.19,2026-06-22,4.45,12,3,12,20,15,10,1,5,78,A,34
015760.KS,015760,한국전력,243946,38000.0,46102.0,-17.574074877445664,67900.0,-44.03534609720177,47.96238244509897,daily_close,144.73,3.62,52.26,4.0,0.48,19.4,416.85,4.32,61.28,,5439 -> 13311,,,,,,,,,,,0.03,,2026-06-22,4.45,15,10,16,20,0,10,5,5,81,A,35
010130.KS,010130,고려아연,239412,1147000.0,1361865.0,-15.77726132913321,2115000.0,-45.76832151300236,31.37254901960712,daily_close,319.09,54.23,28.13,20.0,2.17,8.48,82.36,37.63,70.27,21.41,26127 -> 9190 -> 38514,,,,,,,,,,,0.06,21.41,2026-06-22,4.45,4,3,6,20,12,10,3,3,61,B,36
010140.KS,010140,삼성중공업,230560,26200.0,26709.25,-1.906642829731273,34400.0,-23.837209302325583,44.25531914888344,regularMarketPrice,749.32,97.29,28.73,23.0,5.21,13.73,265.05,7.54,71.51,,73 -> 620,,,,,,,,,,,0.03,,2026-06-22,4.45,4,0,12,20,0,10,5,5,56,B,37
051910.KS,051910,LG화학,228013,323000.0,342145.0,-5.595580820996945,429500.0,-24.79627473806752,37.22397476340365,regularMarketPrice,,29.2,37.29,101.0,0.76,-5.5,114.54,-5.68,34.98,,-,,,,,,,,,,,,,2026-06-22,4.45,0,10,0,0,0,0,5,5,20,D,38
064350.KS,064350,현대로템,222104,203500.0,206995.5,-1.6886840535180716,269000.0,-24.349442379182157,45.85152838427387,daily_close,89.24,19.33,37.2,24.0,7.02,30.05,206.39,33.41,120.24,118.7,1475 -> 3728 -> 7055,,,,,,,,,,,0.27,118.7,2026-06-22,4.45,4,0,20,20,15,10,5,5,79,A,39
316140.KS,316140,우리금융지주,219121,29850.0,29714.25,0.4568515106388349,40800.0,-26.838235294117645,51.88284518822373,daily_close,1.86,4.73,45.32,7.0,0.6,8.91,1488.67,-10.87,-13.64,11.6,3389 -> 4144 -> 4221,,,,,,,,,,,3.76,11.6,2026-06-22,4.45,15,10,6,0,8,2,5,5,51,C,40
017670.KS,017670,SK텔레콤,202332,94200.0,71139.0,32.41681777927719,125200.0,-24.76038338658147,34.53608247421849,daily_close,-67.28,15.89,75.45,17.0,1.52,3.33,132.4,-4.69,-41.14,-38.32,4997 -> 5810 -> 1901,,,,,,,,,,,,-38.32,2026-06-22,4.45,8,6,0,0,0,0,3,5,22,D,41
079550.KS,079550,LIG디펜스앤에어로스페이스,186560,848000.0,602035.0,40.855598096456184,1020000.0,-16.862745098039216,55.940594059404646,regularMarketPrice,15.46,25.03,25.57,51.0,12.33,19.2,446.35,31.46,42.97,20.33,7953 -> 9974 -> 11516,,,,,,,,,,,3.3,20.33,2026-06-22,4.45,0,0,16,0,12,8,3,5,44,C,42
011200.KS,011200,HMM,184403,19550.0,20681.85,-5.472672899184544,25950.0,-24.66281310211946,48.74141876422399,daily_close,-61.33,8.23,7.83,14.0,0.68,6.9,26.31,-6.91,-58.4,3.39,1829 -> 5055 -> 1955,,,,,,,,,,,,3.39,2026-06-22,4.45,8,10,6,0,4,0,5,5,38,D,43
033780.KS,033780,KT&G,181564,174900.0,154116.5,13.485577468992613,189000.0,-7.4603174603174605,38.461538461526274,daily_close,-0.02,13.64,51.25,15.0,2.01,11.77,51.98,11.35,13.03,16.47,6615 -> 8975 -> 8973,,,,,,,,,,,,16.47,2026-06-22,4.45,8,3,12,0,12,0,5,0,40,C,44
267250.KS,267250,HD현대,176944,224000.0,225341.0,-0.595098095774848,310500.0,-27.858293075684383,27.906976744183012,regularMarketPrice,89.12,15.56,26.91,8.0,1.49,10.25,159.39,5.16,104.47,90.79,3348 -> 6444 -> 12187,,,,,,,,,,,0.09,90.79,2026-06-22,4.45,15,6,12,20,15,10,3,5,86,S,45
