yf_symbol,symbol,name,market_cap,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,dividend_year,dividend_report_code,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
263750.KQ,263750,펄어비스,22749,,36350.0,44391.25,-18.114493284149464,72000.0,-49.51388888888889,34.76562499996197,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,296.2,96.6,7.9,6.0,2.31,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,239.34,194.65,1338.75,3499.96,-2161.21,,,,,,,,,,,,,OpenDART,2025,CFS,11011,0.02,,,,2026-06-30,4.25,15,3,0,20,0,10,3,3,54,C,43
131970.KQ,131970,두산테스나,22477,,117800.0,78378.5,50.29631850571267,190100.0,-38.0326144134666,41.82282793866622,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-95.9,238.23,8.74,53.0,5.05,0.34,61.02,-18.55,-102.37,-83.42,2839 -> 1903 -> 78,3039.0,-9.0,15.0,-0.3,0.49,1472.18,1224.2,1095.47,2666.99,-1571.52,0.3,194.3,160.0,30.78,OpenDART,0.0,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,OFS,11011,,-83.42,,,2026-06-30,4.25,0,0,0,0,0,0,5,5,10,D,44
098460.KQ,098460,고영,21791,,31950.0,26906.75,18.743437984892267,43500.0,-26.551724137931032,52.427184465983785,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,-29.74,61.63,23.84,46.0,6.15,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,2326.0,173.0,148.0,7.44,6.36,180.9,46.06,383.51,751.7,-368.19,0.4,62.8,140.0,92.63,OpenDART,3.93,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,-17.9,,,2026-06-30,4.25,0,0,0,0,0,0,5,5,10,D,45
043260.KQ,043260,성호전자,21028,,29650.0,21836.615,35.78111808996036,53200.0,-44.266917293233085,31.719532554242264,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,871.74,6.42,3.15,5.08,3.61,46.27,128.77,11.72,20.63,101.28,331 -> 138 -> 1341,2316.0,76.0,910.0,3.28,39.29,200.87,152.61,295.71,3270.79,-2975.08,,,,,,,,,,,,,OpenDART,2025,CFS,11011,0.01,101.28,,,2026-06-30,4.25,15,0,20,20,15,10,3,5,88,S,46
032820.KQ,032820,우리기술,20935,,12200.0,11225.9,8.677255275746269,29300.0,-58.36177474402731,46.27421758564472,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,-84.85,398.75,6.79,60.4,12.64,0.67,172.08,22.16,-1016.67,,33 -> 5,871.0,-55.0,-41.0,-6.31,-4.71,-188.48,-655.92,94.76,2140.61,-2045.85,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,47
257720.KQ,257720,실리콘투,20754,,31800.0,41921.0,-24.143030939147444,61800.0,-48.54368932038835,40.13840830445938,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,31.11,14.49,7.85,10.0,4.21,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.8,11.9,306.0,200.28,OpenDART,,1.0,False,1.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.32,103.34,,,2026-06-30,4.25,12,0,20,20,15,10,5,3,85,S,48
010170.KQ,010170,대한광통신,20524,,13200.0,7667.75,72.1495875582798,29100.0,-54.63917525773196,35.34971644607799,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,,3.5,,17.69,-52.05,228.6,-8.71,,,-,1394.0,-214.0,-280.0,-15.35,-20.09,-122.2,-130.89,97.78,1523.64,-1425.86,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,49
089030.KQ,089030,테크윙,19860,,53600.0,52626.5,1.8498285084510655,71100.0,-24.613220815752463,44.94949494947906,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,181.67,13.12,435.77,9.38,4.63,198.75,-14.23,-32.48,,-,1591.0,158.0,90.0,9.93,5.66,-160.89,-486.2,421.68,4215.8,-3794.12,0.3,49.4,130.0,46.46,OpenDART,-13.29,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,5,10,D,50
183300.KQ,183300,코미코,19312,,94300.0,61737.565,52.743309523140404,139200.0,-32.25574712643678,43.254376930992734,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-10.74,15.48,23.51,39.9,6.78,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,6041.0,1110.0,772.0,18.37,12.78,382.21,-1815.01,991.19,6604.31,-5613.12,1.3,28.3,1400.0,141.14,OpenDART,26.31,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,24.61,,,2026-06-30,4.25,0,0,16,0,12,0,5,5,38,D,51
140410.KQ,140410,메지온,18448,,60700.0,85720.75,-29.18867368752607,172700.0,-64.85234510712218,48.61660079048693,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,,25.61,,119.02,-110.43,470.09,-8.14,,,-,79.0,-168.0,-349.0,-212.66,-441.77,-165.88,-298.6,255.74,808.3,-552.56,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,1,6,D,52
082920.KQ,082920,비츠로셀,18362,,40000.0,28077.865,42.46097415170277,64100.0,-37.597503900156006,38.22784810123872,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,10.56,11.12,33.16,24.0,5.36,18.56,12.21,15.32,33.53,23.31,826 -> 1136 -> 1256,2431.0,693.0,569.0,28.51,23.41,635.86,521.59,243.75,403.47,-159.72,1.4,20.5,260.0,116.83,OpenDART,14.74,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,2.27,23.31,,,2026-06-30,4.25,4,0,16,0,12,5,5,5,47,C,53
035900.KQ,035900,JYP Ent.,18263,,52000.0,67089.5,-22.49159704573741,85100.0,-38.89541715628672,49.11504424775719,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,64.27,25.19,18.96,13.0,2.72,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8219.0,1552.0,1606.0,18.88,19.54,1243.33,1018.25,2944.72,2261.42,683.3,1.4,18.1,877.0,290.58,OpenDART,64.23,2.0,False,2.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.2,23.33,,,2026-06-30,4.25,8,3,20,20,12,10,5,5,83,A,54
068760.KQ,068760,셀트리온제약,18160,,41200.0,57825.805,-28.751532296005216,95047.0,-56.65302429324439,47.77448071212648,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,76.47,119.93,5.27,45.29,4.15,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,864.3,685.07,498.72,3234.77,-2736.05,0.32,,200.0,86.85,OpenDART,,1.0,False,1.0,OpenDART,2025.0,11011,OpenDART,2025,OFS,11011,0.59,34.91,,,2026-06-30,4.25,0,0,6,20,15,10,5,3,59,B,55
058610.KQ,058610,에스피지,17808,,80500.0,86804.5,-7.262872316527369,158100.0,-49.08285895003163,41.86507936506774,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-30.29,103.2,8.93,188.06,6.67,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,283.71,232.87,420.24,1704.88,-1284.64,0.4,60.7,,55.44,OpenDART,-15.66,4.0,True,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,-8.86,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,56
140860.KQ,140860,파크시스템스,17401,,249500.0,254360.0,-1.9106777795250824,339500.0,-26.50957290132548,50.95541401273583,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-19.61,42.01,36.06,33.0,7.53,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,2056.0,422.0,345.0,20.53,16.78,244.79,-298.32,750.6,1248.03,-497.43,0.24,10.1,500.0,34.76,OpenDART,18.92,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,18.19,,,2026-06-30,4.25,0,0,16,0,12,0,5,5,38,D,57
083650.KQ,083650,비에이치아이,16895,,54700.0,68082.25,-19.656004318306167,109500.0,-50.045662100456624,45.129870129859874,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,232.86,26.53,14.46,20.0,9.24,44.36,367.65,91.28,244.75,180.92,267 -> 633 -> 2107,7741.0,755.0,652.0,9.75,8.42,1122.98,938.15,599.51,6531.11,-5931.6,,,,,,,,,,,,,OpenDART,2025,CFS,11011,0.09,180.92,,,2026-06-30,4.25,4,0,20,20,15,10,5,3,77,A,58
218410.KQ,218410,RFHIC,16781,,62600.0,55689.0,12.409991201134874,112500.0,-44.355555555555554,38.2926829268162,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,11.66,23.8,26.9,38.0,4.44,8.84,37.77,61.71,1960.0,28.82,652 -> 969 -> 1082,1858.0,309.0,355.0,16.63,19.11,294.99,242.9,1099.24,1497.25,-398.01,1.2,29.9,400.0,101.41,OpenDART,58.74,4.0,False,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,3.26,28.82,,,2026-06-30,4.25,0,0,6,0,15,5,5,5,36,D,59
0009K0.KQ,0009K0,에임드바이오,16232,,25600.0,47259.25,-45.830710390029466,72500.0,-64.6896551724138,50.59880239516716,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,626.65,1.95,363.77,8.46,5.13,3.32,300.85,,,-,473.0,208.0,50.0,43.97,10.57,178.6,174.97,1064.08,63.97,1000.11,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,6,0,0,0,5,1,12,D,60
041510.KQ,041510,에스엠,16209,,71000.0,105749.0,-32.859885199860045,153000.0,-53.59477124183007,47.637051039684934,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,1844.22,43.74,32.85,12.0,1.62,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,11749.0,1830.0,3594.0,15.58,30.59,1948.61,1529.18,3646.12,6489.65,-2843.53,1.3,10.7,1620.0,370.89,OpenDART,68.7,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.01,103.18,,,2026-06-30,4.25,12,6,20,20,15,10,5,3,91,S,61
030530.KQ,030530,원익홀딩스,16181,,20950.0,29020.7,-27.81014930721864,48700.0,-56.98151950718686,42.96116504851449,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,137.36,5.68,83.8,1.6,2.78,51.37,-3.49,-101.31,,-,6230.0,-4.0,504.0,-0.06,8.09,1180.86,-266.1,1009.31,6684.79,-5675.48,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,6,0,0,0,0,5,3,14,D,62
096530.KQ,096530,씨젠,15511,,29650.0,25707.25,15.337113071215319,35150.0,-15.647226173541965,58.51528384272321,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,7007.69,906.71,18.21,23.63,1.32,4.81,21.66,14.46,,,13 -> 924,4742.0,346.0,484.0,7.3,10.21,1493.34,1088.69,2255.72,2199.82,55.9,4.1,95.5,1000.0,461.18,OpenDART,0.0,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.0,,,,2026-06-30,4.25,4,6,0,0,0,10,3,5,28,D,63
078600.KQ,078600,대주전자재료,15268,,97100.0,95704.0,1.4586642146618742,182800.0,-46.88183807439825,38.52140077820312,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-43.95,667.76,16.47,149.23,5.8,8.6,155.9,16.1,-29.59,444.67,45 -> 2382 -> 1335,2546.0,207.0,209.0,8.13,8.21,109.49,-128.37,870.95,4023.25,-3152.3,0.15,6.7,100.0,15.14,OpenDART,0.0,4.0,False,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,444.67,,,2026-06-30,4.25,0,0,6,0,15,0,5,3,29,D,64
007390.KQ,007390,네이처셀,14981,,23050.0,22488.75,2.4956922905897394,37800.0,-39.021164021164026,27.98833819239698,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,1126.55,8.81,,23.75,-4.45,18.57,-35.91,-700.0,,-,207.0,-36.0,-28.0,-17.39,-13.53,1.57,-164.33,167.67,117.02,50.65,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,3,5,8,D,65
458870.KQ,458870,씨어스,14938,,39250.0,38725.135,1.355360026504744,63034.0,-37.73201764127296,70.05444646094443,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,102.08,5.21,25.0,27.6,52.78,36.81,495.06,,,-,482.0,163.0,160.0,33.82,33.2,20.86,4.54,110.96,145.84,-34.88,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,4,0,20,0,0,0,1,5,30,D,66
060370.KQ,060370,LS마린솔루션,14182,,26900.0,29564.0,-9.010959274793667,50100.0,-46.30738522954092,43.43749999996199,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-51.36,69.69,2.93,105.23,2.21,2.0,17.67,87.41,-43.55,-28.93,390 -> 405 -> 197,2442.0,70.0,84.0,2.87,3.44,199.34,-565.57,735.64,1109.64,-374.0,,97.5,,81.43,OpenDART,,0.0,False,0.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,-28.93,,,2026-06-30,4.25,0,3,0,0,0,0,5,3,11,D,67
039200.KQ,039200,오스코텍,13868,,36500.0,47767.5,-23.58821374365416,62000.0,-41.12903225806452,43.77880184328973,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,5847.83,547.23,13.04,24.97,7.75,33.87,23.02,193.53,,,23 -> 1368,998.0,521.0,544.0,52.2,54.51,83.02,,151.92,430.06,-278.14,,,,,,,,,,,,,OpenDART,2025,CFS,11011,0.0,,,,2026-06-30,4.25,4,0,20,0,0,10,5,5,44,C,68
127120.KQ,127120,제이에스링크,13010,,36600.0,28612.75,27.9150029270168,48900.0,-25.153374233128833,66.49874055410928,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,2.06,,14.45,-35.13,79.37,21.38,,,-,193.0,-125.0,-164.0,-64.77,-84.97,-93.87,-534.7,404.31,544.44,-140.13,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,1,5,6,D,69
323280.KQ,323280,태성,13009,,42150.0,50539.25,-16.599474665730103,89700.0,-53.01003344481605,39.02116402114957,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,103.42,5.28,,10.15,-3.0,34.71,-35.98,-141.67,,-,379.0,-25.0,-25.0,-6.6,-6.6,-97.49,-498.39,491.19,444.52,46.67,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,70
475830.KQ,475830,오름테라퓨틱,12857,,58900.0,79160.0,-25.593734209196562,143700.0,-59.011830201809325,45.977011494242305,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,8.09,,11.31,-33.22,29.37,,,,-,0.24,-518.0,-420.0,-215662.5,-174870.83,-359.89,,40.65,384.37,-343.72,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,71
166090.KQ,166090,하나머티리얼즈,12499,,63400.0,54392.5,16.56018752585375,81100.0,-21.8249075215783,52.666666666650286,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,20.8,21.83,22.62,25.06,2.51,9.39,47.86,8.7,15.44,5.86,1731 -> 1606 -> 1940,2735.0,501.0,384.0,18.32,14.04,685.43,482.22,394.97,2219.26,-1824.29,0.71,15.1,300.0,57.87,OpenDART,-15.91,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,1.2,5.86,,,2026-06-30,4.25,0,3,6,10,4,8,5,5,41,C,72
031330.KQ,031330,에스에이엠티,12349,,12350.0,6239.95,97.91825255010058,18860.0,-34.517497348886536,33.943833943775914,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,39.34,6.2,9.61,4.04,1.67,16.55,183.14,30.01,68.99,51.79,329 -> 544 -> 758,37566.0,1139.0,758.0,3.03,2.02,-1202.55,-1206.28,983.32,8901.87,-7918.55,6.1,29.6,230.0,224.35,OpenDART,3.56,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.1,51.79,,,2026-06-30,4.25,15,6,16,20,15,10,3,5,90,S,73
347700.KQ,347700,스피어,12034,,24100.0,25926.15,-7.043660551219527,53100.0,-54.61393596986818,41.95607763021994,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-98.98,1590.82,10.16,26.56,10.84,0.43,49.85,11.94,-40.13,,491 -> 5,956.0,91.0,2.0,9.52,0.21,-146.67,-147.13,41.67,317.23,-275.56,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,74
101490.KQ,101490,에스앤에스텍,11862,,55600.0,68612.75,-18.965498394977608,105100.0,-47.09800190294957,38.72340425529608,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,91.27,24.46,14.73,19.79,3.64,21.24,29.18,38.47,70.85,50.19,1205 -> 1421 -> 2718,2437.0,504.0,581.0,20.68,23.84,468.82,-175.92,800.1,887.84,-87.74,0.4,7.2,200.0,41.66,OpenDART,18.92,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.22,50.19,,,2026-06-30,4.25,4,0,20,20,15,10,5,3,77,A,75
195940.KQ,195940,HK이노엔,11473,,41000.0,49110.75,-16.51522324541979,57600.0,-28.819444444444443,47.277936962712786,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,22.91,20.56,14.33,12.0,0.86,5.87,57.85,18.52,25.74,26.83,1661 -> 2174 -> 2672,10632.0,1109.0,757.0,10.43,7.12,1620.1,756.77,914.06,7685.33,-6771.27,0.8,15.3,410.0,116.15,OpenDART,6.39,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,OFS,11011,0.52,26.83,,,2026-06-30,4.25,12,8,6,20,15,8,5,5,79,A,76
437730.KQ,437730,삼현,11002,,34550.0,45185.1,-23.536741093856158,73200.0,-52.800546448087424,29.535864978891325,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,19.27,100.86,2.33,204.12,8.65,8.46,53.4,-5.38,-85.45,-5.72,369 -> 275 -> 328,950.0,8.0,97.0,0.84,10.21,0.95,-529.71,208.0,703.51,-495.51,,16.24,,15.73,OpenDART,,1.0,False,1.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,10.59,-5.72,,,2026-06-30,4.25,0,0,6,0,0,8,3,3,20,D,77
003380.KQ,003380,하림지주,10886,,9720.0,11221.2,-13.378248315688168,19610.0,-50.433452320244776,45.610278372454275,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,772.77,17.26,9.25,4.24,0.29,7.29,170.94,7.67,15.92,148.93,331 -> 235 -> 2051,132149.0,8874.0,5138.0,6.72,3.89,11410.68,6803.36,14593.4,107306.95,-92713.55,0.7,,120.0,,OpenDART,0.0,3.0,False,3.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.01,148.93,,,2026-06-30,4.25,15,10,6,20,15,10,5,3,84,A,78
232140.KQ,232140,와이씨,10788,,13150.0,16415.9,-19.894736200878423,23700.0,-44.51476793248945,42.4283765347075,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,75.37,55.92,8.26,31.0,2.84,5.56,27.51,29.07,60.38,19.34,165 -> 134 -> 235,2726.0,170.0,290.0,6.24,10.64,411.93,245.48,982.3,1309.93,-327.63,,,,,,,,,,,,,OpenDART,2025,CFS,11011,0.41,19.34,,,2026-06-30,4.25,0,3,6,20,12,10,5,5,61,B,79
204270.KQ,204270,제이앤티씨,10696,,18450.0,20687.0,-10.81355440614879,31250.0,-40.96,58.32856325124118,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,39.18,2.8,,4.38,-31.32,121.3,-32.03,,,-,1857.0,-780.0,-916.0,-42.0,-49.33,-23.26,-375.38,363.68,3004.65,-2640.97,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,3,5,8,D,80
100790.KQ,100790,미래에셋벤처투자,10311,,19410.0,22416.4,-13.411609357434742,67400.0,-71.20178041543028,15.23247744621051,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,263.75,20.88,7.32,23.64,2.65,8.47,190.79,2.52,123.57,12.85,457 -> 160 -> 582,2398.0,351.0,309.0,14.64,12.89,488.15,486.97,724.58,7218.06,-6493.48,,,,,,2.41,2.0,False,2.0,OpenDART,,,OpenDART,2025,CFS,11011,0.09,12.85,,,2026-06-30,4.25,4,3,6,20,8,10,1,1,53,C,81
083450.KQ,083450,GST,10191,,55900.0,33680.8,65.96992945535735,66500.0,-15.939849624060152,46.91689008041134,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,0.82,8.6,22.99,18.54,3.2,16.15,26.8,4.14,1.02,13.24,1916 -> 2437 -> 2457,3472.0,592.0,456.0,17.05,13.13,415.92,286.86,718.89,816.55,-97.66,2.41,25.68,650.0,116.27,OpenDART,21.32,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,22.61,13.24,,,2026-06-30,4.25,4,0,16,0,8,2,5,5,40,C,82
085660.KQ,085660,차바이오텍,10096,,10960.0,15061.7,-27.23264970089698,23850.0,-54.04612159329141,45.81749049417463,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,8.44,,1.96,-37.19,214.81,21.37,,,-,12683.0,-488.0,-1467.0,-3.85,-11.57,-725.23,-2245.89,2375.58,17383.27,-15007.69,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,3,0,0,0,0,5,3,11,D,83
417200.KQ,417200,LS머트리얼즈,10005,,14790.0,15948.8,-7.265750401284104,31250.0,-52.672,41.82590233539431,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,-92.86,746.84,8.16,,5.45,0.24,33.22,8.09,-101.61,-83.26,214 -> 84 -> 6,1536.0,-1.0,-10.0,-0.07,-0.65,56.41,-180.83,574.27,684.56,-110.29,0.1,,22.0,14.88,OpenDART,0.0,2.0,False,2.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,-83.26,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,84
099320.KQ,099320,쎄트렉아이,9878,,90800.0,116887.25,-22.31830246669333,214000.0,-57.570093457943926,34.6575342465687,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,93.35,37.02,12.09,59.0,4.01,6.31,73.42,20.78,,-45.98,4784 -> 722 -> 1396,2069.0,102.0,141.0,4.93,6.81,-740.17,-991.2,759.46,1739.99,-980.53,0.16,,100.0,10.95,OpenDART,-10.61,4.0,True,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,0.63,-45.98,,,2026-06-30,4.25,0,0,6,20,0,10,3,3,42,C,85
090710.KQ,090710,휴림로봇,9851,,8240.0,9288.9,-11.291972138789303,21500.0,-61.67441860465116,33.53115726996002,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,,7.1,,7.92,-13.42,36.13,26.45,,,-,1683.0,-173.0,-301.0,-10.28,-17.88,-230.17,-245.91,160.03,734.47,-574.44,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,3,1,4,D,86
036540.KQ,036540,SFA반도체,9719,,5910.0,5916.2,-0.10479699807308439,11010.0,-46.321525885558586,37.535816618760606,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,23.78,9.04,,2.01,-3.93,16.21,-8.26,,,-,3674.0,-196.0,-191.0,-5.33,-5.2,54.56,-166.04,226.3,766.27,-539.97,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,3,0,0,0,0,5,3,11,D,87
281740.KQ,281740,레이크머티리얼즈,9544,,14520.0,17483.7,-16.951217419653737,27550.0,-47.295825771324864,45.42334096102564,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,-63.09,69.3,10.37,77.65,6.86,5.8,161.94,1.8,-40.09,-43.54,367 -> 317 -> 117,1412.0,133.0,78.0,9.42,5.52,154.78,18.13,206.47,2199.93,-1993.46,0.2,25.6,30.0,19.72,OpenDART,-40.0,2.0,True,2.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,-43.54,,,2026-06-30,4.25,0,0,6,0,0,0,5,3,14,D,88
038500.KQ,038500,삼표시멘트,9507,,8810.0,9069.5,-2.861238215998677,20200.0,-56.386138613861384,33.33333333324971,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,-38.34,9.33,3.85,19.32,1.22,5.29,84.0,-14.4,-26.28,9.89,313 -> 613 -> 378,6769.0,766.0,408.0,11.32,6.03,938.53,485.75,822.95,6604.66,-5781.71,2.52,31.84,121.0,129.9,OpenDART,12.7,5.0,False,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,9.89,,,2026-06-30,4.25,4,6,6,0,8,0,3,3,30,D,89
397030.KQ,397030,에이프릴바이오,9494,,41000.0,48159.25,-14.865783831766482,73300.0,-44.065484311050476,45.826771653523096,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,17.75,10.35,-128.0,9.67,-10.39,0.83,-92.0,-143.2,,-,22.0,-73.0,-97.0,-331.82,-440.91,-33.42,-33.84,70.73,8.04,62.69,,,,,,,,,,,,,OpenDART,2025,OFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,5,10,D,90
074600.KQ,074600,원익QnC,9240,,35250.0,28117.75,25.365649811951524,42150.0,-16.370106761565836,52.93103448273307,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-55.74,18.02,11.75,39.54,1.82,4.73,170.93,5.84,-34.22,-23.19,1451 -> 1934 -> 856,9436.0,596.0,10.0,6.32,0.11,848.49,-44.64,605.54,9752.88,-9147.34,0.6,15.2,130.0,34.17,OpenDART,-4.66,4.0,True,4.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,-23.19,,,2026-06-30,4.25,0,3,0,0,0,0,5,5,13,D,91
