yf_symbol,symbol,name,market_cap,market_cap_as_of,market_cap_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5479.858,2026-09-21,Naver exchange listing (USD),227.3800048828125,219.51149978637696,212.00649948120116,208.78958333333333,198.6077500152588,14.486974886600931,235.74000549316406,-3.546279976053527,56.33641300827078,5.9,16.16,daily_close,일봉 종가,2026-09-22 15:37 KST,,,127.8,60.78,71.53,28.248383,23.026468,117.21,16.971,105.9,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.44,3.54,1.0,,yfinance,35.72,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,94.2,4.72,57.0,0.08,327.65,515.0,180.0,44.1,3.44,Finnhub,yfinance,,,2026-09-16,,,,,0.22,102.92,40.16,13.44,34.82,32,30,30,30,-29.66,71.33,2026-09-21,4.25,0,0,20,20,15,10,3,0,68,B,1
AAPL,AAPL,애플,4947.1351364,2026-09-21,Naver exchange listing (USD),338.9800109863281,324.1214996337891,317.61516621907555,301.5837496439616,286.6051493835449,18.274222118979917,340.0799865722656,-0.3234461389581829,70.7093467121557,9.58,23.2,daily_close,일봉 종가,2026-09-22 15:37 KST,338.71,-0.07965395527084211,28.7,30.44,66.4,36.29439,43.05027,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.32,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.82,39.0,1.85,324.45,400.0,215.0,-4.29,1.69,Finnhub,yfinance,,,2026-09-16,,,,,1.26,10.32,40.16,13.44,34.82,32,30,30,30,-9.63,220.31,2026-09-21,4.25,0,0,20,10,8,8,1,0,47,C,2
MSFT,MSFT,마이크로소프트,3724.727873741,2026-09-21,Naver exchange listing (USD),501.6099853515625,498.4285003662109,452.8041656494141,429.2425821940104,431.6611993408203,16.204557212359912,542.0700073242188,-7.46398461932549,46.85700408978173,3.8,42.17,daily_close,일봉 종가,2026-09-22 15:37 KST,,,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.73,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,13.55,6.42,Finnhub,yfinance,,,2026-09-16,,,,,0.85,23.34,40.16,14.87,36.64,32,30,30,30,-33.22,-45.44,2026-09-21,4.25,0,0,20,16,12,10,5,0,63,B,3
AMZN,AMZN,아마존닷컴,2787.722742683,2026-09-21,Naver exchange listing (USD),258.45001220703125,256.1245002746582,253.77966639200847,252.38658345540364,240.4208999633789,7.498978768650545,284.0199890136719,-9.002879302769694,48.501387966858815,-0.07,13.85,daily_close,일봉 종가,2026-09-22 15:37 KST,,,242.3,41.19,68.71,19.794327,4.9102745,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.24,4.68,59.0,-0.09,328.22,405.0,230.0,27.0,5.13,Finnhub,yfinance,,,2026-09-18,,,,,0.08,57.24,21.75,15.93,9.38,6,5,4,4,-8.99,-69.18,2026-09-21,4.25,4,0,20,20,15,10,5,0,74,A,4
GOOGL,GOOGL,알파벳 Class A,2379.36391,2026-09-21,Naver exchange listing (USD),354.9700012207031,342.2939987182617,347.6276657104492,353.4553326924642,337.6916993713379,5.116590630309032,402.6199951171875,-11.834979502847407,62.80745230757491,2.94,3.28,daily_close,일봉 종가,2026-09-22 15:37 KST,356.2,0.34650781053808266,294.0,23.77,81.0,17.547304,6.7781363,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,90.0,4.63,54.0,1.43,428.07,515.0,340.0,20.59,6.53,Finnhub,yfinance,,,2026-09-16,,,,,0.06,36.52,18.84,3.43,18.34,8,7,7,7,-6.86,97.61,2026-09-21,4.25,8,0,20,20,15,10,3,5,81,A,5
TSM,TSM,TSMC ADR,2308.70703636,2026-09-21,Naver exchange listing (USD),445.1400146484375,423.7980010986328,421.92566731770836,412.0621671040853,380.09030014038086,17.11427902370344,477.57000732421875,-6.790625914194977,65.96701956868105,6.25,2.33,daily_close,일봉 종가,2026-09-22 15:37 KST,,,77.4,0.68,15.49,32.158527,87.592865,39.97,16.504,36.0,46.45,43.13,161.7 -> 226.25 -> 331.25,3809054300000.0,1936095600000.0,1697604000000.0,50.83,44.57,2274975600000.0,992378400000.0,2767856400000.0,1064582700000.0,1703273700000.0,0.92,25.74,4.08,,yfinance,18.92,9.0,False,9.0,yfinance dividend history,Technology,Semiconductors,95.35,4.6,19.0,0.0,552.38,700.0,440.0,24.09,7.14,Finnhub,yfinance,,,2026-09-16,,,,,0.42,43.13,40.16,13.44,34.82,32,30,30,30,-19.92,551.73,2026-09-21,4.25,0,0,20,20,15,10,1,0,66,B,6
SPCX,SPCX,스페이스X,2061.032963756,2026-09-21,Naver exchange listing (USD),151.85000610351562,146.0785011291504,138.35733337402343,,,,211.38999938964844,-28.165946098701028,58.015721634918094,10.86,-0.75,daily_close,일봉 종가,2026-09-22 15:37 KST,152.7203,0.5731273371771269,-25857.58,,48.16,,15.342792,,31.211,91.9,,,-,,,,,,,,,,,,0.0,0.0,,yfinance,,,,,,Industrials,Aerospace & Defense,,4.33,19.0,,220.68,450.0,117.0,45.33,,,yfinance,,,2026-09-22,,,,,,,34.48,8.68,39.7,8,7,7,7,,76.76,2026-09-21,4.25,0,0,0,0,0,0,3,5,8,D,7
GOOG,GOOG,알파벳 Class C,1939.25849,2026-09-21,Naver exchange listing (USD),350.8699951171875,338.9144989013672,345.35949961344403,351.0611656188965,336.3529493713379,4.31601559403084,399.0400085449219,-12.071474638190733,63.691103238605,2.67,2.54,daily_close,일봉 종가,2026-09-22 15:37 KST,352.15,0.36480887526018485,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,20.21,6.53,Finnhub,yfinance,,,2026-09-15,,,,,0.06,36.52,18.79,3.43,18.34,8,7,7,7,0.24,106.29,2026-09-21,4.25,4,0,20,20,15,10,3,5,77,A,8
META,META,메타,1888.32625175,2026-09-21,Naver exchange listing (USD),741.25,624.1774993896485,607.2103291829427,610.337080891927,624.6292477416993,18.67039570752321,790.0,-6.170886075949367,87.1671747279113,34.8,36.54,daily_close,일봉 종가,2026-09-22 15:37 KST,740.012,-0.1670151770657749,-13.4,22.36,79.02,25.050808,6.4923916,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.28,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.66,57.0,0.0,758.28,1000.0,580.0,2.3,0.38,Finnhub,yfinance,,,2026-09-15,,,,,,25.69,18.79,3.43,18.34,8,7,7,7,33.32,89.28,2026-09-21,4.25,0,0,20,0,15,0,1,0,36,D,9
AVGO,AVGO,브로드컴,1731.204606841,2026-09-21,Naver exchange listing (USD),362.6600036621094,359.02849731445315,378.83183237711586,389.8620834350586,369.00225006103517,-1.7187554812678647,481.57000732421875,-24.692153135287096,45.174672631849496,-1.57,-4.29,daily_close,일봉 종가,2026-09-22 15:37 KST,364.499,0.5070855124140028,215.3,63.5,79.82,46.31673,17.367111,44.25,59.604,85.5,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.72,32.4,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.23,4.74,47.0,0.16,531.85,715.0,215.88,46.65,0.53,Finnhub,yfinance,,,2026-09-22,,,,,0.22,20.26,37.91,13.44,34.82,32,30,30,30,22.18,29.22,2026-09-21,4.25,0,0,20,20,12,10,5,5,72,A,10
