yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,cagr,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
319660.KQ,319660,피에스케이,53009,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,185900.0,67084.0,177.11525848190328,211500.0,-12.10401891252955,54.05572755417487,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-0.73,10.42,23.99,40.0,10.81,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.37,25.1,680.0,196.97,OpenDART,3.18,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,22.31,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-58.26,-12.54,2026-07-02,4.25,0,0,16,0,12,0,5,5,38,D,11
141080.KQ,141080,리가켐바이오,52900,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,142600.0,169727.5,-15.982972706249724,213500.0,-33.20843091334895,56.56759348033757,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,483.55,9.44,-129.0,11.81,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,229.93,35.64,-25.01,9,,-66.86,2026-07-02,4.25,0,0,0,0,0,0,3,5,8,D,12
000250.KQ,000250,삼천당제약,47853,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,204000.0,376779.5,-45.85692692941097,1184000.0,-82.77027027027027,33.61823361823093,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,1036.5,7.44,512.61,17.54,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.02,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,,,,,,,,,,2025.0,11011.0,2.0,OpenDART,,,,,,의약품 제조업,의약품 제조업,108.15,6.76,1.96,7,373.98,159.47,2026-07-02,4.25,0,0,0,0,0,0,3,1,4,D,13
039030.KQ,039030,이오테크닉스,47368,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,384000.0,356621.5,7.677187157812976,612000.0,-37.25490196078432,21.598002496878152,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,33.53,50.01,27.12,44.0,7.58,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,,,,,,,,,1.31,,,3.0,OpenDART,24.98,OpenDART,2025.0,CFS,11011.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-54.09,-38.67,2026-07-02,4.25,0,0,6,10,12,10,1,5,44,C,14
222800.KQ,222800,심텍,46717,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,127100.0,66865.25,90.083787916743,157300.0,-19.19898283534648,47.79411764705336,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,,13.49,43.0,9.85,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.08,,100.0,37.33,OpenDART,-33.13,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,,OpenDART,2025.0,CFS,11011.0,전자부품 제조업,전자부품 제조업,49.52,5.95,5.05,7,-13.17,65.55,2026-07-02,4.25,0,0,0,0,0,0,5,5,10,D,15
087010.KQ,087010,펩트론,41528,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,178300.0,271222.0,-34.26049509258098,386000.0,-53.80829015544042,36.51948051947786,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,,5.34,,31.06,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,OFS,11011.0,기초 의약물질 제조업,기초 의약물질 제조업,97.08,22.77,-33.24,8,,36.41,2026-07-02,4.25,0,0,0,0,0,0,5,3,8,D,16
084370.KQ,084370,유진테크,40171,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,177400.0,107868.5,64.45950393302957,206500.0,-14.092009685230025,43.82422802849992,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-32.89,30.03,36.77,51.0,9.75,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.13,12.3,230.0,52.02,OpenDART,-3.93,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,31.84,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-46.78,-21.12,2026-07-02,4.25,0,0,6,0,15,0,5,5,31,D,17
214370.KQ,214370,케어젠,39211,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,72500.0,84814.5,-14.519333368704643,150100.0,-51.69886742171885,48.29545454544174,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-37.87,92.25,3.65,175.17,17.37,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.6,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,-29.05,,,,,기초 의약물질 제조업,기초 의약물질 제조업,97.08,22.77,-33.24,8,80.44,-23.72,2026-07-02,4.25,0,0,6,0,0,0,5,3,14,D,18
347850.KQ,347850,디앤디파마텍,38506,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,86700.0,77606.94,11.71681295513004,111200.0,-22.032374100719423,49.59016393441912,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,,6.89,,54.29,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,229.93,35.64,-25.01,9,,52.33,2026-07-02,4.25,0,0,0,0,0,0,5,5,10,D,19
440110.KQ,440110,파두,38077,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,76000.0,48771.1,55.829989481475714,128300.0,-40.76383476227591,34.296482412054274,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,,27.45,,123.65,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,반도체 제조업,반도체 제조업,26.33,29.39,-19.3,5,,320.72,2026-07-02,4.25,0,0,0,0,0,0,3,5,8,D,20
