yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,cagr,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
080220.KQ,080220,제주반도체,30895,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,89700.0,43705.0,105.2396750943828,134000.0,-33.059701492537314,44.07407407406836,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,102.29,22.3,1.59,31.42,11.4,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,0.31,,,,,53.63,OpenDART,2025.0,CFS,11011.0,반도체 제조업,반도체 제조업,26.33,29.39,-19.3,5,19.33,-61.21,2026-07-02,4.25,0,0,16,20,15,10,5,5,71,A,31
031980.KQ,031980,피에스케이홀딩스,30338,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,141100.0,80091.0,76.17460139091783,166500.0,-15.255255255255252,45.91549295774195,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-4.32,11.02,6.77,27.0,7.04,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,0.77,25.4,1080.0,232.87,OpenDART,39.25,4.0,False,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,46.54,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-71.83,-43.04,2026-07-02,4.25,0,0,16,0,15,0,5,5,41,C,32
067310.KQ,067310,하나마이크론,28254,중견기업부,"반도체패키징,IOT",KOSDAQ,주권,KRX,42500.0,32135.6,32.25208180335827,56800.0,-25.176056338028168,40.79885877316487,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,44.79,20.98,21.0,7.24,9.89,209.16,22.68,19.57,,-,15344.0,1277.0,656.0,8.32,4.28,1749.19,118.91,955.88,13651.63,-12695.75,0.16,12.19,70.0,46.46,OpenDART,11.87,4.0,False,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,,,,,,반도체 제조업,반도체 제조업,26.33,29.39,-19.3,5,-20.24,-75.37,2026-07-02,4.25,4,0,6,0,0,0,5,5,20,D,33
064760.KQ,064760,티씨케이,28060,우량기업부,반도체 제조공정용 고순도 흑연제품,KOSDAQ,주권,KRX,252000.0,208464.0,20.88418144139996,348500.0,-27.69010043041607,37.17105263157553,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-2.77,18.81,67.26,29.0,6.09,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,0.57,22.9,1430.0,159.87,OpenDART,0.0,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,6.91,,,,,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,24.52,3.68,9.4,2,,,2026-07-02,4.25,0,0,12,0,4,0,5,5,26,D,34
131290.KQ,131290,티에스이,27211,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,258500.0,106848.5,141.93133268131982,276000.0,-6.340579710144928,43.95061728394757,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-10.0,1517.12,10.87,42.38,7.17,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.17,12.4,450.0,49.78,OpenDART,-3.45,4.0,True,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,1672.52,,,,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",39.19,7.64,13.56,2,,,2026-07-02,4.25,0,0,12,0,15,0,5,0,32,D,35
237690.KQ,237690,에스티팜,27064,우량기업부,원료의약품,KOSDAQ,주권,KRX,128800.0,126201.5,2.059008807343812,168700.0,-23.65145228215768,56.140350877180445,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,52.02,53.05,12.63,40.0,4.48,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,0.39,18.3,500.0,100.76,OpenDART,0.0,5.0,False,,,,,,,,,0.77,2025.0,11011.0,5.0,OpenDART,61.23,,,,,의약품 제조업,의약품 제조업,108.15,6.76,1.96,7,-63.01,-33.73,2026-07-02,4.25,0,0,12,16,15,10,3,5,61,B,36
319400.KQ,319400,현대무벡스,26284,우량기업부,"물류자동화, IT서비스",KOSDAQ,주권,KRX,23600.0,23251.6,1.4983915085413542,46350.0,-49.08306364617045,17.671517671507388,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,-56.77,99.75,1.54,282.78,18.05,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,-14.32,-43.28,361.19,1231.33,-870.14,0.21,48.8,50.0,55.07,OpenDART,13.62,5.0,False,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,65.83,,,,,일반 목적용 기계 제조업,일반 목적용 기계 제조업,152.39,14.14,25.58,2,,,2026-07-02,4.25,0,0,6,0,15,0,1,3,25,D,37
005290.KQ,005290,동진쎄미켐,25841,우량기업부,"반도체,LCD용재료(감광제,봉지제),발포제",KOSDAQ,주권,KRX,50900.0,46714.0,8.960911075908722,66000.0,-22.87878787878788,38.10888252147468,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-35.98,13.86,15.39,22.38,2.56,9.52,82.11,7.31,-1.71,-11.78,2476 -> 3010 -> 1927,11941.0,1724.0,941.0,14.44,7.88,1912.57,1098.48,3719.12,9045.5,-5326.38,1.28,33.71,650.0,334.0,OpenDART,55.91,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,-11.78,,,,,기초 화학물질 제조업,기초 화학물질 제조업,52.39,2.06,6.15,2,,,2026-07-02,4.25,4,3,6,0,0,0,5,5,23,D,38
089970.KQ,089970,브이엠,24648,우량기업부,300mm Poly Etch System,KOSDAQ,주권,KRX,99700.0,40023.2,149.10551879909656,119700.0,-16.70843776106934,51.22910521139905,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,29.68,13.24,37.0,15.23,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,183.11,93.34,1305.19,715.3,589.89,,,,,,,1.0,False,,,,,,,,,,,,1.0,OpenDART,,OpenDART,2025.0,CFS,11011.0,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-61.39,23.22,2026-07-02,4.25,0,0,16,0,0,0,5,5,26,D,39
290650.KQ,290650,엘앤씨바이오,23652,우량기업부,"인체조직(피부, 뼈, 연골)",KOSDAQ,주권,KRX,88100.0,67971.75,29.61266996950939,118300.0,-25.528317836010142,59.67741935482374,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,192.78,8.73,21.98,,11.01,-57.68,118.98,18.75,12.82,,2132 -> 6242,855.0,44.0,-1382.0,5.15,-161.64,125.65,-44.7,308.88,2481.04,-2172.16,0.06,,50.0,11.34,OpenDART,0.0,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,,OpenDART,2025.0,CFS,11011.0,의약품 제조업,의약품 제조업,108.15,6.76,1.96,7,,62.87,2026-07-02,4.25,0,0,0,0,0,10,3,5,18,D,40
357780.KQ,357780,솔브레인,23607,우량기업부,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,KOSDAQ,주권,KRX,302500.0,346330.0,-12.65555972627263,501000.0,-39.62075848303393,28.50467289719502,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-33.25,18.26,27.69,18.0,2.38,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,1469.22,268.78,2476.57,3351.74,-875.17,0.78,22.77,2350.0,179.98,OpenDART,6.42,4.0,False,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,-22.12,,,,,기타 화학제품 제조업,기타 화학제품 제조업,35.49,4.18,10.92,3,-49.28,-43.06,2026-07-02,4.25,8,3,6,0,0,0,3,5,25,D,41
263750.KQ,263750,펄어비스,23566,우량기업부,게임 개발 서비스(검은사막 및 붉은사막),KOSDAQ,주권,KRX,37650.0,44440.25,-15.279504503237492,72000.0,-47.708333333333336,36.5313653136154,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,296.2,96.6,7.88,7.0,2.41,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,239.34,194.65,1338.75,3499.96,-2161.21,,,,,,,,,,,,,,,,,0.02,,,,,,OpenDART,2025.0,CFS,11011.0,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,19.45,5.4,-10.03,4,-64.01,-55.37,2026-07-02,4.25,15,3,0,20,0,10,5,3,56,B,42
257720.KQ,257720,실리콘투,22918,우량기업부,화장품 유통,KOSDAQ,주권,KRX,35200.0,41842.0,-15.87400219874767,61800.0,-43.042071197411005,50.86705202308022,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,31.11,14.49,7.77,11.0,4.73,46.89,55.09,61.43,49.27,103.34,631 -> 1990 -> 2609,11163.0,2054.0,1686.0,18.4,15.1,11.41,-58.98,773.23,2520.18,-1746.95,0.87,11.9,306.0,200.28,OpenDART,,1.0,False,,,,,,,,,0.35,2025.0,11011.0,1.0,OpenDART,103.34,,,,,상품 종합 도매업,상품 종합 도매업,11.0,4.73,46.89,1,,,2026-07-02,4.25,12,0,20,20,15,10,5,5,87,S,43
420770.KQ,420770,기가비스,22157,우량기업부,반도체 기판용 광학검사 및 수리장비,KOSDAQ,주권,KRX,175900.0,68751.75,155.84803295916103,192200.0,-8.480749219562956,66.40091116172061,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,353.16,47.97,1.54,146.44,11.9,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,524.0,121.0,155.0,23.09,29.58,256.54,210.21,397.82,282.74,115.08,0.45,65.63,800.0,101.41,OpenDART,0.0,3.0,False,,,,,,,,,0.41,2025.0,11011.0,3.0,OpenDART,-33.36,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,52.81,-3.72,2026-07-02,4.25,0,0,6,20,0,10,1,0,37,D,44
098460.KQ,098460,고영,20222,우량기업부,전자제품및반도체생산용 3차원 납도포검사장비,KOSDAQ,주권,KRX,29650.0,27080.0,9.4903988183161,43500.0,-31.83908045977012,23.75690607732969,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,-29.74,61.63,23.74,49.0,6.47,4.48,22.43,14.86,424.24,-17.9,319 -> 306 -> 215,2326.0,173.0,148.0,7.44,6.36,180.9,46.06,383.51,751.7,-368.19,0.47,62.8,140.0,92.63,OpenDART,3.93,5.0,False,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,-17.9,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-48.87,-47.65,2026-07-02,4.25,0,0,0,0,0,0,1,5,6,D,45
035900.KQ,035900,JYP Ent.,19720,우량기업부,오디오물 출판 및 원판 녹음 관련 제품,KOSDAQ,주권,KRX,54700.0,66893.5,-18.228228452689724,85100.0,-35.72267920094007,49.11504424775719,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,64.27,25.19,18.95,14.0,2.82,29.21,36.19,36.57,20.97,23.33,2971 -> 2751 -> 4519,8219.0,1552.0,1606.0,18.88,19.54,1243.33,1018.25,2944.72,2261.42,683.3,1.6,18.1,877.0,290.58,OpenDART,64.23,2.0,False,,,,,,,,,0.22,2025.0,11011.0,2.0,OpenDART,23.33,,,,,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,13.33,2.03,26.09,3,5.03,38.92,2026-07-02,4.25,8,3,20,20,12,10,5,5,83,A,46
131970.KQ,131970,두산테스나,19520,우량기업부,반도체 테스트,KOSDAQ,주권,KRX,101100.0,79105.5,27.80400857083262,190100.0,-46.81746449237244,10.30042918454781,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-95.9,238.23,8.73,51.0,4.89,0.34,61.02,-18.55,-102.37,-83.42,2839 -> 1903 -> 78,3039.0,-9.0,15.0,-0.3,0.49,1472.18,1224.2,1095.47,2666.99,-1571.52,0.16,194.3,160.0,30.78,OpenDART,0.0,5.0,False,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,-83.42,,,,,"그외 기타 전문, 과학 및 기술 서비스업","그외 기타 전문, 과학 및 기술 서비스업",51.0,4.89,0.34,1,,,2026-07-02,4.25,0,0,0,0,0,0,1,3,4,D,47
032820.KQ,032820,우리기술,19305,벤처기업부,"시스템사업, 정보통신사업",KOSDAQ,주권,KRX,11250.0,11306.925,-0.5034525301971957,29300.0,-61.60409556313993,20.4672897195994,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,-84.85,398.75,6.61,62.13,13.01,0.67,172.08,22.16,-1016.67,,33 -> 5,871.0,-55.0,-41.0,-6.31,-4.71,-188.48,-655.92,94.76,2140.61,-2045.85,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",89.88,7.86,10.39,3,-30.87,65.52,2026-07-02,4.25,0,0,0,0,0,0,1,1,2,D,48
010170.KQ,010170,대한광통신,18596,중견기업부,"광섬유, 광케이블",KOSDAQ,주권,KRX,11960.0,7785.765,53.61367829622393,29100.0,-58.90034364261169,15.895953757203998,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,,3.83,,18.57,-52.05,228.6,-8.71,,,-,1394.0,-214.0,-280.0,-15.35,-20.09,-122.2,-130.89,97.78,1523.64,-1425.86,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,절연선 및 케이블 제조업,절연선 및 케이블 제조업,,18.57,-52.05,1,,,2026-07-02,4.25,0,0,0,0,0,0,1,3,4,D,49
140860.KQ,140860,파크시스템스,18591,우량기업부,연구용 및 산업용 원자현미경,KOSDAQ,주권,KRX,262000.0,254495.0,2.948977386589128,339500.0,-22.827687776141385,27.01863354037033,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-19.61,42.01,36.14,36.0,8.11,16.69,55.44,17.42,9.61,18.19,3530 -> 6134 -> 4931,2056.0,422.0,345.0,20.53,16.78,244.79,-298.32,750.6,1248.03,-497.43,0.19,10.1,500.0,34.76,OpenDART,18.92,5.0,False,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,18.19,,,,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",39.19,7.64,13.56,2,,,2026-07-02,4.25,0,0,16,0,12,0,3,5,36,D,50
140410.KQ,140410,메지온,18448,투자주의환기종목(소속부없음),"발기부전증치료제, 전립선비대증치료제",KOSDAQ,주권,KRX,60700.0,85856.0,-29.300223630264625,172700.0,-64.85234510712218,41.59663865543772,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,,25.57,,120.78,-110.43,470.09,-8.14,,,-,79.0,-168.0,-349.0,-212.66,-441.77,-165.88,-298.6,255.74,808.3,-552.56,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,229.93,35.64,-25.01,9,,238.89,2026-07-02,4.25,0,0,0,0,0,0,5,1,6,D,51
068760.KQ,068760,셀트리온제약,18249,우량기업부,고덱스 캡슐 외,KOSDAQ,주권,KRX,41050.0,57721.515,-28.88267052588623,95047.0,-56.81084095237093,44.44444444440603,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,76.47,119.93,5.2,45.74,4.19,9.3,74.2,12.26,50.81,34.91,478 -> 493 -> 870,5364.0,561.0,388.0,10.46,7.23,864.3,685.07,498.72,3234.77,-2736.05,0.49,,200.0,86.85,OpenDART,,1.0,False,,,,,,,,,0.6,2025.0,11011.0,1.0,OpenDART,34.91,OpenDART,2025.0,OFS,11011.0,의약품 제조업,의약품 제조업,108.15,6.76,1.96,7,-57.71,-38.02,2026-07-02,4.25,0,0,6,20,15,10,5,3,59,B,52
041510.KQ,041510,에스엠,17995,우량기업부,"음반(CD,MC),연예 대리",KOSDAQ,주권,KRX,77700.0,105145.0,-26.10204955062057,153000.0,-49.2156862745098,43.74999999998469,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,1844.22,43.74,32.81,12.0,1.68,41.65,47.76,18.71,109.62,103.18,3664 -> 778 -> 15126,11749.0,1830.0,3594.0,15.58,30.59,1948.61,1529.18,3646.12,6489.65,-2843.53,2.08,10.7,1620.0,370.89,OpenDART,68.7,5.0,True,,,,,,,,,0.01,2025.0,11011.0,5.0,OpenDART,103.18,,,,,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,13.33,2.03,26.09,3,-9.98,-17.24,2026-07-02,4.25,12,6,20,20,15,10,5,3,91,S,53
089030.KQ,089030,테크윙,17581,중견기업부,"반도체테스트핸들러,C.O.K(Change Over Kit)",KOSDAQ,주권,KRX,47450.0,52793.75,-10.12193678228957,71100.0,-33.26300984528833,31.26967471142838,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,181.67,12.73,474.8,10.22,4.63,198.75,-14.23,-32.48,,-,1591.0,158.0,90.0,9.93,5.66,-160.89,-486.2,421.68,4215.8,-3794.12,0.27,49.4,130.0,46.46,OpenDART,-13.29,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,395.46,-17.31,2026-07-02,4.25,0,0,0,0,0,0,3,5,8,D,54
083650.KQ,083650,비에이치아이,17081,우량기업부,"보일러,열교환기등",KOSDAQ,주권,KRX,55500.0,68120.75,-18.52702737418481,109500.0,-49.31506849315068,25.855513307977915,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,232.86,26.53,14.47,22.0,10.22,44.36,367.65,91.28,244.75,180.92,267 -> 633 -> 2107,7741.0,755.0,652.0,9.75,8.42,1122.98,938.15,599.51,6531.11,-5931.6,,,,,,,,,,,,,,,,,0.09,,,,,180.92,OpenDART,2025.0,CFS,11011.0,일반 목적용 기계 제조업,일반 목적용 기계 제조업,152.39,14.14,25.58,2,,,2026-07-02,4.25,4,0,20,20,15,10,3,3,75,A,55
082920.KQ,082920,비츠로셀,16707,우량기업부,리튬1차전지,KOSDAQ,주권,KRX,37000.0,28330.95,30.59922099329532,64100.0,-42.27769110764431,29.106029106012173,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,10.56,11.12,33.02,24.0,5.52,18.56,12.21,15.32,33.53,23.31,826 -> 1136 -> 1256,2431.0,693.0,569.0,28.51,23.41,635.86,521.59,243.75,403.47,-159.72,0.7,20.5,260.0,116.83,OpenDART,14.74,5.0,True,,,,,,,,,2.27,2025.0,11011.0,5.0,OpenDART,23.31,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,183.5,6.4,10.42,2,,,2026-07-02,4.25,4,0,16,0,12,5,3,5,45,C,56
0009K0.KQ,0009K0,에임드바이오,16523,기술성장기업부,ADC 기반 항암제,KOSDAQ,주권,KRX,25650.0,47081.5,-45.52000254877181,72500.0,-64.62068965517241,45.29914529910917,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,626.65,1.88,389.86,9.07,5.13,3.32,300.85,,,-,473.0,208.0,50.0,43.97,10.57,178.6,174.97,1064.08,63.97,1000.11,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,229.93,35.64,-25.01,9,69.56,-74.55,2026-07-02,4.25,0,0,6,0,0,0,5,1,12,D,57
058610.KQ,058610,에스피지,16411,우량기업부,소형 Geared Motor,KOSDAQ,주권,KRX,74500.0,87310.5,-14.672347541246472,158100.0,-52.87792536369387,30.36053130928985,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-30.29,103.2,8.5,190.63,6.76,3.57,66.09,-12.05,45.53,-8.86,496 -> 591 -> 412,3417.0,179.0,91.0,5.24,2.66,283.71,232.87,420.24,1704.88,-1284.64,0.4,60.7,,55.44,OpenDART,-15.66,4.0,True,,,,,,,,,,2025.0,11011.0,4.0,OpenDART,-8.86,OpenDART,2025.0,CFS,11011.0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",89.88,7.86,10.39,3,112.09,-13.99,2026-07-02,4.25,0,0,0,0,0,0,3,3,6,D,58
183300.KQ,183300,코미코,16210,우량기업부,반도체 부품 세정 및 코팅,KOSDAQ,주권,KRX,78600.0,62179.315,26.40859745720904,139200.0,-43.53448275862069,15.045592705163967,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-10.74,15.48,23.34,38.84,6.6,18.52,178.59,19.13,-1.33,24.61,1563 -> 2719 -> 2427,6041.0,1110.0,772.0,18.37,12.78,382.21,-1815.01,991.19,6604.31,-5613.12,1.78,28.3,1400.0,141.14,OpenDART,26.31,5.0,True,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,24.61,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,95.83,12.36,9.11,20,-59.47,-46.6,2026-07-02,4.25,0,0,16,0,12,0,1,5,34,D,59
043260.KQ,043260,성호전자,15670,우량기업부,"전원공급장치,필름콘덴서",KOSDAQ,주권,KRX,21900.0,22088.5,-0.8533852457160966,53200.0,-58.83458646616542,13.114754098355192,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,871.74,6.42,3.02,5.24,3.73,46.27,128.77,11.72,20.63,101.28,331 -> 138 -> 1341,2316.0,76.0,910.0,3.28,39.29,200.87,152.61,295.71,3270.79,-2975.08,,,,,,,,,,,,,,,,,0.01,,,,,101.28,OpenDART,2025.0,CFS,11011.0,전자부품 제조업,전자부품 제조업,49.52,5.95,5.05,7,-89.42,-37.31,2026-07-02,4.25,15,0,20,20,15,10,1,3,84,A,60
096530.KQ,096530,씨젠,15119,우량기업부,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",KOSDAQ,주권,KRX,28850.0,25739.5,12.084539326715747,35150.0,-17.923186344238974,53.688524590102325,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,7007.69,906.71,18.2,22.83,1.28,4.81,21.66,14.46,,,13 -> 924,4742.0,346.0,484.0,7.3,10.21,1493.34,1088.69,2255.72,2199.82,55.9,3.47,95.5,1000.0,461.18,OpenDART,0.0,5.0,True,,,,,,,,,0.0,2025.0,11011.0,5.0,OpenDART,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,21.42,7.81,-4.21,3,6.58,-83.61,2026-07-02,4.25,4,6,0,0,0,10,5,5,30,D,61
218410.KQ,218410,RFHIC,14923,우량기업부,GaN 트랜지스터,KOSDAQ,주권,KRX,55200.0,56042.0,-1.5024445951250849,112500.0,-50.93333333333333,27.5862068965434,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,11.66,23.8,26.79,39.0,4.69,8.84,37.77,61.71,1960.0,28.82,652 -> 969 -> 1082,1858.0,309.0,355.0,16.63,19.11,294.99,242.9,1099.24,1497.25,-398.01,0.72,29.9,400.0,101.41,OpenDART,58.74,4.0,False,,,,,,,,,3.34,2025.0,11011.0,4.0,OpenDART,28.82,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,39.0,4.69,8.84,1,,,2026-07-02,4.25,0,0,6,0,15,5,3,3,32,D,62
060370.KQ,060370,LS마린솔루션,14835,우량기업부,해저케이블등의 건설 및 유지보수 업무,KOSDAQ,주권,KRX,27900.0,29624.25,-5.820400516468771,50100.0,-44.31137724550898,44.692737430132645,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,-51.36,69.69,2.74,114.15,2.39,2.0,17.67,87.41,-43.55,-28.93,390 -> 405 -> 197,2442.0,70.0,84.0,2.87,3.44,199.34,-565.57,735.64,1109.64,-374.0,,97.5,,81.43,OpenDART,,0.0,False,,,,,,,,,,2025.0,11011.0,0.0,OpenDART,-28.93,OpenDART,2025.0,CFS,11011.0,전기 및 통신 공사업,전기 및 통신 공사업,114.15,2.39,2.0,1,,,2026-07-02,4.25,0,3,0,0,0,0,5,5,13,D,63
458870.KQ,458870,씨어스,14538,기술성장기업부,심전도검사솔루션 입원환자모니터링솔루션,KOSDAQ,주권,KRX,38200.0,38923.615,-1.859064221039073,63034.0,-39.39778532220706,65.26315789470479,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,102.08,4.9,26.0,28.02,52.78,36.81,495.06,,,-,482.0,163.0,160.0,33.82,33.2,20.86,4.54,110.96,145.84,-34.88,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,의료용 기기 제조업,의료용 기기 제조업,22.0,13.09,19.41,3,18.18,114.06,2026-07-02,4.25,0,0,20,0,0,0,1,5,26,D,64
030530.KQ,030530,원익홀딩스,14319,중견기업부,가스캐비닛,KOSDAQ,주권,KRX,18540.0,29127.5,-36.34881126083598,48700.0,-61.93018480492813,10.71878940730454,daily_close,NXT 미확인,2026-07-02 21:37 KST,,,,137.36,5.48,82.4,1.57,2.78,51.37,-3.49,-101.31,,-,6230.0,-4.0,504.0,-0.06,8.09,1180.86,-266.1,1009.31,6684.79,-5675.48,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,기초 화학물질 제조업,기초 화학물질 제조업,52.39,2.06,6.15,2,,,2026-07-02,4.25,0,6,0,0,0,0,1,1,8,D,65
007390.KQ,007390,네이처셀,14079,중견기업부,닥터쥬크르,KOSDAQ,주권,KRX,21850.0,22504.5,-2.9083072274434003,37800.0,-42.1957671957672,20.058997050130927,nxt_web_latest,NXT 체결가,2026-07-02 21:29 KST,,,,1126.55,8.75,,23.65,-4.45,18.57,-35.91,-700.0,,-,207.0,-36.0,-28.0,-17.39,-13.53,1.57,-164.33,167.67,117.02,50.65,,,,,,,,,,,,,,,,,,,,,,,OpenDART,2025.0,CFS,11011.0,기초 의약물질 제조업,기초 의약물질 제조업,97.08,22.77,-33.24,8,,3.86,2026-07-02,4.25,0,0,0,0,0,0,1,5,6,D,66
