yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,score_per,score_pbr,score_roe,score_rsi,score_peak_diff,score,grade,data_date,us_10y_bond,peg,cagr,rank
051910.KS,051910,LG화학,238602,338000.0,341967.5,-1.160197972029506,429500.0,-21.303841676367867,40.13605442176489,,29.2,37.29,101.0,0.76,-5.5,114.54,-5.68,34.98,,-,0,10,0,5,5,20,D,2026-06-19,4.25,,,73
068270.KS,068270,셀트리온,377441,170300.0,183970.29,-7.430705251375104,236861.0,-28.10129147474679,37.09692761342111,148.85,65.74,24.41,28.0,2.22,5.94,28.71,17.01,137.5,15.32,3187 -> 1703 -> 4238,0,3,6,5,5,19,D,2026-06-19,4.25,0.19,15.32,74
003490.KS,003490,대한항공,102917,27950.0,23914.0,16.877143096094336,30000.0,-6.833333333333333,54.54545454539417,-40.82,8.45,44.43,53.0,0.95,7.28,339.88,41.16,-47.23,-14.28,2873 -> 3567 -> 2111,0,8,6,5,0,19,D,2026-06-19,4.25,,-14.28,75
035720.KS,035720,카카오,167136,37750.0,55017.5,-31.38546826009906,70400.0,-46.377840909090914,35.416666666632224,795.16,180.5,28.25,24.0,1.45,4.59,82.49,2.99,47.79,,124 -> 1110,4,6,0,5,3,18,D,2026-06-19,4.25,0.03,,76
066570.KS,066570,LG전자,344501,211500.0,119783.0,76.56929614386014,392500.0,-46.11464968152866,37.325038880247206,161.86,28.06,28.54,19.0,1.49,4.28,140.33,1.68,-27.53,16.18,3942 -> 2032 -> 5321,4,6,0,5,3,18,D,2026-06-19,4.25,0.12,16.18,77
307950.KS,307950,현대오토에버,181546,662000.0,367676.5,80.04958162950311,938000.0,-29.42430703624733,20.824295010845347,6.84,37.41,1.71,87.0,9.97,10.27,92.31,14.5,13.77,15.08,5024 -> 6228 -> 6654,0,0,12,1,5,18,D,2026-06-19,4.25,12.72,15.08,78
090430.KS,090430,아모레퍼시픽,61183,104600.0,126990.5,-17.63163386237553,182300.0,-42.622051563357104,32.323232323217084,-60.27,34.27,24.18,21.0,1.32,4.41,26.49,9.46,52.29,14.4,2608 -> 8591 -> 3413,4,6,0,3,5,18,D,2026-06-19,4.25,,14.4,79
047040.KS,047040,대우건설,87317,21250.0,11235.1,89.13939350784594,37150.0,-42.799461641991925,37.95620437953618,-54.26,4.44,9.91,22.0,2.43,-23.89,284.46,-23.32,-302.28,,1231 -> 563,4,3,0,5,5,17,D,2026-06-19,4.25,,,80
272210.KS,272210,한화시스템,172105,91100.0,86494.5,5.324616016047263,162700.0,-44.00737553779963,38.35845896146505,-46.69,20.41,9.56,77.0,3.45,6.6,106.5,30.69,-45.33,-16.73,1849 -> 2405 -> 1282,0,0,6,5,5,16,D,2026-06-19,4.25,,-16.73,81
000720.KS,000720,현대건설,143203,128600.0,106209.0,21.082017531470967,188700.0,-31.84949655537891,42.69841269840795,-30.35,14.22,25.1,27.0,1.58,4.58,174.81,-4.92,,,4767 -> 3320,0,6,0,5,5,16,D,2026-06-19,4.25,,,82
000100.KS,000100,유한양행,60611,76100.0,105862.5,-28.114299208879444,163700.0,-53.5125229077581,31.836734693859356,175.23,75.25,18.84,41.0,2.49,8.81,36.35,5.75,90.16,19.5,1673 -> 868 -> 2389,0,3,6,3,3,15,D,2026-06-19,4.25,0.23,19.5,83
028260.KS,028260,삼성물산,797053,491500.0,280299.5,75.34815438486334,535000.0,-8.130841121495328,57.80423280423066,15.35,12.4,31.12,31.0,1.29,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,0,6,6,3,0,15,D,2026-06-19,4.25,2.02,9.45,84
004170.KS,004170,신세계,67155,711000.0,312113.0,127.80211013318893,767000.0,-7.301173402868318,68.84615384615199,-86.85,63.77,24.38,18.0,1.3,0.32,140.91,5.47,0.63,-74.9,22865 -> 10948 -> 1440,8,6,0,1,0,15,D,2026-06-19,4.25,,-74.9,85
353200.KS,353200,대덕전자,77238,156300.0,68592.5,127.86747822283778,190900.0,-18.124672603457306,34.956521739126174,100.43,46.49,14.43,40.0,8.76,5.37,31.28,19.41,334.51,36.9,493 -> 461 -> 924,0,0,6,3,5,14,D,2026-06-19,4.25,0.4,36.9,86
011070.KS,011070,LG이노텍,270988,1145000.0,380362.5,201.02862400999047,1530000.0,-25.163398692810457,34.879227053139616,-24.04,12.45,22.5,33.0,4.46,6.14,107.02,3.28,-5.81,-22.3,23881 -> 18983 -> 14419,0,0,6,3,5,14,D,2026-06-19,4.25,,-22.3,87
0126Z0.KS,0126Z0,삼성에피스홀딩스,106748,429000.0,522362.5,-17.873124506449063,743000.0,-42.261103633916555,32.258064516126126,,35.03,7.07,41.0,1.77,,30.64,,,,-,0,6,0,3,5,14,D,2026-06-19,4.25,,,88
