yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
160190.KQ,160190,하이젠알앤엠,8895,중견기업부,,KOSDAQ,주권,KRX,29300.0,21830.5,18935.5,26856.416666666668,40475.85,-27.611155787957507,85400.0,-65.69086651053864,74.5387453874111,56.52,49.19,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,735.44,-89.09,-71.02,-12.11,-9.66,-96.85,-150.13,227.02,595.93,-368.91,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,,,7,0,0,0,,,,,,,,,,2026-09-22,4.25,0,0,0,0,0,0,1,1,2,D,91
327260.KQ,327260,RF머트리얼즈,8679,벤처기업부,,KOSDAQ,주권,KRX,47750.0,40422.5,32100.45,37134.11666666667,29498.075,61.87496980735183,59463.0,-19.697963439449744,77.5555555555073,38.21,83.31,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,640.84,73.7,103.77,11.5,16.19,71.61,42.5,312.69,418.04,-105.35,,,,,,,0.0,,1.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-19,2025.0,CFS,11011.0,OpenDART,,,7,0,0,0,,,,,,,,,,2026-09-22,4.25,0,0,0,0,0,0,1,5,6,D,92
065350.KQ,065350,신성델타테크,8506,우량기업부,,KOSDAQ,주권,KRX,31000.0,30632.5,29844.166666666668,39702.916666666664,49316.75,-37.14103220508245,121700.0,-74.52752670501232,66.39344262279845,7.27,10.32,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,73.25,81.02,3.48,29.33,3.38,9.51,161.32,7.19,4.53,,456 -> 790,9453.64,276.9,242.07,2.93,2.56,143.76,-801.57,706.02,5756.98,-5050.96,0.39,13.6,120.0,32.98,OpenDART,0.0,5.0,False,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-16,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,1,0,0,0,0.4,,,,,,,가정용 기기 제조업,가정용 기기 제조업,2026-09-22,4.25,0,0,6,20,0,10,1,1,38,D,93
099320.KQ,099320,쎄트렉아이,8498,우량기업부,,KOSDAQ,주권,KRX,78500.0,72885.0,75871.66666666667,111861.66666666667,121253.25,-35.259467272011264,214000.0,-63.3177570093458,68.31275720160673,9.18,-1.63,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,2069.17,101.8,140.86,4.92,6.81,-740.17,-991.2,759.46,1739.99,-980.53,0.13,,100.0,10.95,OpenDART,,3.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-19,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,1,0,0,0,,,,,,,,"항공기,우주선 및 부품 제조업","항공기,우주선 및 부품 제조업",2026-09-22,4.25,0,0,0,0,0,0,1,1,2,D,94
014620.KQ,014620,성광벤드,8458,우량기업부,,KOSDAQ,주권,KRX,32200.0,32117.5,28264.166666666668,32171.25,31615.25,1.8495820845952506,48300.0,-33.33333333333333,62.06896551715577,22.9,28.29,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,-11.68,15.11,35.34,20.0,1.44,6.45,7.42,7.91,0.0,-3.72,1370 -> 1438 -> 1270,2456.7,419.56,344.32,17.08,14.02,378.8,324.24,558.16,407.71,150.45,0.62,15.4,200.0,53.11,OpenDART,25.99,5.0,False,5.0,OpenDART,,4.0,,,44333.0,,,37.68,,,Naver/FnGuide,,KRW,2026-09-22,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,1,0,0,0,,,,,,,-3.72,1차 철강 제조업,1차 철강 제조업,2026-09-22,4.25,4,6,6,0,0,0,3,5,24,D,95
115180.KQ,115180,큐리언트,8445,벤처기업부,,KOSDAQ,주권,KRX,22050.0,22112.5,21240.5,26187.666666666668,29247.1,-24.607909844052912,50900.0,-56.679764243614926,55.8935361216135,-11.98,11.99,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,69.83,-297.64,-312.62,-426.24,-447.69,-286.73,-323.69,210.36,228.03,-17.67,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-22,2025.0,CFS,11011.0,OpenDART,,,7,0,0,0,,,,,,,,,,2026-09-22,4.25,0,0,0,0,0,0,3,3,6,D,96
035760.KQ,035760,CJ ENM,8289,중견기업부,,KOSDAQ,주권,KRX,38000.0,34872.5,33021.666666666664,39404.583333333336,49864.25,-23.793098261780735,81800.0,-53.54523227383863,75.32467532458402,16.56,24.59,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,51345.11,1328.88,170.14,2.59,0.33,11663.75,2073.0,7820.51,52209.25,-44388.74,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,,,7,0,0,0,,,,,,,,,,2026-09-22,4.25,0,0,0,0,0,0,1,3,4,D,97
031330.KQ,031330,에스에이엠티,8249,우량기업부,,KOSDAQ,주권,KRX,8280.0,8063.5,9374.833333333334,10232.083333333334,7928.85,4.428763313721405,18860.0,-56.09756097560976,61.818181817657305,2.1,-31.0,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,37565.94,1139.01,758.29,3.03,2.02,-1202.55,-1206.28,983.32,8901.87,-7918.55,2.78,29.6,230.0,224.35,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-19,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,0,0,0,,,,,,,,,,2026-09-22,4.25,0,0,0,0,0,0,3,3,6,D,98
032500.KQ,032500,케이엠더블유,8231,중견기업부,,KOSDAQ,주권,KRX,19340.0,16041.5,15990.333333333334,22702.083333333332,21103.15,-8.35491383987699,38200.0,-49.3717277486911,86.66666666648692,33.01,7.03,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,975.19,-237.66,-270.33,-24.37,-27.72,-170.41,-248.24,415.08,1156.42,-741.34,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,,,7,0,0,0,,,,,,,,,,2026-09-22,4.25,0,0,0,0,0,0,1,3,4,D,99
388210.KQ,388210,씨엠티엑스,8186,벤처기업부,,KOSDAQ,주권,KRX,86500.0,73825.0,77863.33333333333,100492.5,107698.5,-19.68318964516683,164400.0,-47.38442822384428,71.50127226460557,16.89,-3.24,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,1605.56,517.82,-215.04,32.25,-13.39,361.94,350.56,929.82,930.4,-0.58,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,,,7,0,0,0,,,,,,,,,,2026-09-22,4.25,0,0,0,0,0,0,1,3,4,D,100
