yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
950160.KQ,950160,코오롱티슈진,13017,외국기업(소속부없음),,KOSDAQ,주식예탁증권,KRX,15380.0,17074.5,35208.166666666664,70174.08333333333,77799.95,-80.23134976307826,138800.0,-88.9193083573487,23.305084745693577,-22.17,-83.86,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,3.81,,7.47,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,-0.17,-1.0,0.47,2.51,-2.04,,,,,,,,,,,,3.0,,,280000.0,,,1720.55,,,Naver/FnGuide,외화 공시 환산 필요,USD,2026-09-22,2025.0,OFS,11011.0,OpenDART,,,6,2,5,5,,,23.18,-4.45,,-67.77,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-22,4.25,0,0,0,0,0,0,1,1,2,D,71
290650.KQ,290650,엘앤씨바이오,12662,우량기업부,,KOSDAQ,주권,KRX,46750.0,48601.85,57819.95,64016.941666666666,67089.745,-30.317219121938827,114575.0,-59.19703251145538,38.69653767818567,-7.71,-45.33,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,192.78,8.46,21.91,,3.94,-57.68,118.98,18.75,12.82,,2132 -> 6242,854.76,44.16,-1382.47,5.17,-161.74,125.65,-44.7,308.88,2481.04,-2172.16,0.11,,50.0,11.34,OpenDART,0.0,5.0,True,5.0,OpenDART,,,,,,,,,,,,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,7,6,6,6,,21.31,3.54,9.66,,11.3,,의약품 제조업,의약품 제조업,2026-09-22,4.25,0,0,0,0,0,10,5,3,18,D,72
127120.KQ,127120,제이에스링크,12180,벤처기업부,,KOSDAQ,주권,KRX,32450.0,32247.5,34618.333333333336,36946.25,32785.75,-1.024072958526189,48900.0,-33.640081799591,55.22388059696877,-5.67,-7.15,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,3.14,,11.28,-35.13,79.37,21.38,,,-,193.16,-124.87,-164.45,-64.65,-85.14,-93.87,-534.7,404.31,544.44,-140.13,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,,,9,2,7,7,,,31.43,-18.83,,-64.11,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-22,4.25,0,0,0,0,0,0,3,5,8,D,73
003380.KQ,003380,하림지주,12152,우량기업부,,KOSDAQ,주권,KRX,10780.0,11051.0,10497.666666666666,11327.833333333334,12008.2,-10.228010859246186,19610.0,-45.02804691483937,51.999999999636,-3.41,18.07,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,772.77,17.26,7.9,7.38,0.31,7.29,170.94,7.67,15.92,148.93,331 -> 235 -> 2051,132148.84,8874.27,5137.6,6.72,3.89,11410.68,6803.36,14593.4,107306.95,-92713.55,1.11,,120.0,,OpenDART,0.0,3.0,False,3.0,OpenDART,,4.0,,,16500.0,,,53.06,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,0.01,,,,,,148.93,기타 금융업,기타 금융업,2026-09-22,4.25,15,10,6,20,15,10,5,3,84,A,74
232140.KQ,232140,와이씨,11740,우량기업부,,KOSDAQ,주권,KRX,14300.0,12005.5,10806.666666666666,14431.333333333334,15664.0,-8.707865168539326,23700.0,-39.66244725738397,68.84422110536619,22.22,14.04,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,75.37,55.92,3.75,30.0,2.38,5.56,27.51,29.07,60.38,19.34,165 -> 134 -> 235,2726.3,169.9,289.84,6.23,10.63,411.93,245.48,982.3,1309.93,-327.63,,,,,,,,,,,,4.0,,,17667.0,,,23.55,,,Naver/FnGuide,,KRW,2026-09-22,2025.0,CFS,11011.0,OpenDART,,,19,17,18,18,0.4,32.0,5.79,8.98,-6.25,-58.89,19.34,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-09-22,4.25,0,3,6,20,12,10,1,5,57,B,75
347700.KQ,347700,스피어,11624,기술성장기업부,,KOSDAQ,주권,KRX,22600.0,21103.5,21051.166666666668,29869.166666666668,29218.3,-22.651215163099835,53100.0,-57.43879472693032,63.29830234430993,-4.03,30.64,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,-98.98,1590.82,9.86,29.29,5.79,0.43,49.85,11.94,-40.13,,491 -> 5,956.39,90.52,1.7,9.46,0.18,-146.67,-147.13,41.67,317.23,-275.56,,,,,,,,,,,,4.0,,,50000.0,,,121.24,,,Naver/FnGuide,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,,,3,1,2,2,,,,,,,,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2026-09-22,4.25,0,0,0,0,0,0,3,3,6,D,76
950260.KQ,950260,인제니아테라퓨틱스(Reg.S),11594,기술성장기업부,,KOSDAQ,주식예탁증권,KRX,22850.0,17189.0,,,,,22850.0,0.0,69.80198019795068,37.98,,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22,,,,,,,9,2,8,8,,,21.36,-25.16,,,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-09-22,4.25,0,0,0,0,0,0,1,0,1,D,77
166090.KQ,166090,하나머티리얼즈,11233,우량기업부,,KOSDAQ,주권,KRX,57000.0,52702.5,54378.333333333336,61533.333333333336,58724.0,-2.9357673183025677,81100.0,-29.716399506781748,66.74757281548861,3.45,-2.9,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,20.8,21.83,21.97,13.0,1.65,9.39,47.86,8.7,15.44,5.86,1731 -> 1606 -> 1940,2734.82,500.81,383.76,18.31,14.03,685.43,482.22,394.97,2219.26,-1824.29,0.53,15.1,300.0,57.87,OpenDART,-20.63,5.0,True,5.0,OpenDART,,4.0,,,82667.0,,,45.03,,,Naver/FnGuide,,KRW,2026-09-23,2025.0,CFS,11011,OpenDART,2025.0,11011,5,2,4,4,0.62,,4.87,2.98,,-66.12,5.86,반도체 제조업,반도체 제조업,2026-09-22,4.25,8,6,6,20,4,8,1,5,58,B,78
195940.KQ,195940,HK이노엔,10892,우량기업부,,KOSDAQ,주권,KRX,38500.0,41007.5,40338.333333333336,43544.583333333336,46887.0,-17.887687418687484,57600.0,-33.15972222222222,17.218543046325692,-12.0,0.92,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,22.91,20.56,12.27,13.0,0.88,5.87,57.85,18.52,25.74,26.83,1661 -> 2174 -> 2672,10631.51,1108.77,757.0,10.43,7.12,1620.1,756.77,914.06,7685.33,-6771.27,1.06,15.3,410.0,116.15,OpenDART,8.61,5.0,False,5.0,OpenDART,,4.0,,,62857.0,,,63.26,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,7,5,6,6,0.57,28.0,3.99,9.66,-53.57,-77.94,26.83,의약품 제조업,의약품 제조업,2026-09-22,4.25,8,8,6,20,15,8,1,5,71,A,79
356860.KQ,356860,티엘비,10547,우량기업부,,KOSDAQ,주권,KRX,44600.0,38797.5,34594.933333333334,39439.05,35396.73,26.000339579390513,62887.0,-29.07914195302686,66.23376623370602,15.25,15.79,daily_close,NXT 미확인,2026-09-23 00:49 KST,,,426.04,64.33,4.71,18.0,5.54,15.99,95.41,43.61,664.71,175.65,117 -> 169 -> 889,2584.98,259.63,189.53,10.04,7.33,81.85,-286.99,245.12,1202.53,-957.41,,22.97,,43.75,OpenDART,,0.0,,1.0,OpenDART,,4.0,,,58375.0,,,30.89,,,Naver/FnGuide,,KRW,2026-09-19,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,9,5,6,6,0.04,24.0,5.11,14.92,-25.0,8.41,175.65,전자부품 제조업,전자부품 제조업,2026-09-22,4.25,8,0,16,20,15,10,1,5,75,A,80
